"ENSP","cluster_membership","cluster_size","n.mut.all","n.rare.funcl","n.comm.funcl","n.rare.nonfuncl","n.comm.nonfuncl"
"ENSP00000006101",4,26,7,7,0,0,0
"ENSP00000006101",5,22,14,9,0,5,0
"ENSP00000006101",6,21,3,0,1,0,2
"ENSP00000006101",7,16,0,0,0,0,0
"ENSP00000006275",1,53,23,15,0,7,1
"ENSP00000006275",2,47,25,19,0,6,0
"ENSP00000006275",3,43,24,17,1,5,1
"ENSP00000006275",4,30,15,9,0,6,0
"ENSP00000006526",1,197,91,59,2,29,1
"ENSP00000006526",2,65,22,15,0,7,0
"ENSP00000006526",3,50,22,11,1,10,0
"ENSP00000006526",4,22,13,7,0,6,0
"ENSP00000006724",1,48,17,15,0,2,0
"ENSP00000006724",2,46,19,14,2,3,0
"ENSP00000006724",3,43,23,14,2,7,0
"ENSP00000006724",4,36,16,14,0,2,0
"ENSP00000006724",5,27,13,9,0,4,0
"ENSP00000006724",6,26,17,13,0,4,0
"ENSP00000006724",7,22,11,8,0,3,0
"ENSP00000006724",8,17,12,7,0,4,1
"ENSP00000007264",1,272,182,92,5,83,2
"ENSP00000007264",2,40,17,11,0,6,0
"ENSP00000007516",1,91,30,20,0,9,1
"ENSP00000007516",2,34,17,11,0,4,2
"ENSP00000007516",3,31,16,11,0,5,0
"ENSP00000007735",1,136,61,44,0,17,0
"ENSP00000007735",2,126,47,32,4,11,0
"ENSP00000007735",3,55,28,21,1,5,1
"ENSP00000007735",4,52,29,15,2,12,0
"ENSP00000007735",5,35,21,17,1,2,1
"ENSP00000007969",1,42,20,11,1,8,0
"ENSP00000007969",2,35,14,9,0,5,0
"ENSP00000007969",3,35,14,9,0,5,0
"ENSP00000007969",4,30,8,7,0,1,0
"ENSP00000007969",5,30,14,7,0,7,0
"ENSP00000007969",6,29,12,8,1,3,0
"ENSP00000007969",7,28,11,9,1,1,0
"ENSP00000007969",8,24,9,6,0,3,0
"ENSP00000007969",9,23,12,5,0,7,0
"ENSP00000007969",10,23,10,8,0,2,0
"ENSP00000007969",11,22,8,7,0,1,0
"ENSP00000007969",12,22,12,8,0,3,1
"ENSP00000008391",1,239,91,55,1,35,0
"ENSP00000008391",2,213,75,50,1,22,2
"ENSP00000008938",1,39,14,12,0,2,0
"ENSP00000008938",2,39,17,9,0,6,2
"ENSP00000008938",3,37,13,11,1,1,0
"ENSP00000008938",4,35,17,12,0,5,0
"ENSP00000008938",5,24,11,6,1,3,1
"ENSP00000008938",6,22,11,6,0,5,0
"ENSP00000009041",1,69,23,12,0,11,0
"ENSP00000009041",2,47,17,12,0,5,0
"ENSP00000009041",3,32,10,6,0,4,0
"ENSP00000009041",4,21,4,1,0,3,0
"ENSP00000009041",5,20,2,1,0,1,0
"ENSP00000009041",6,17,7,4,0,3,0
"ENSP00000009041",7,16,10,6,0,4,0
"ENSP00000009041",8,12,5,2,0,3,0
"ENSP00000009180",1,140,45,28,0,17,0
"ENSP00000009180",2,30,13,9,0,4,0
"ENSP00000009180",3,25,9,5,0,3,1
"ENSP00000009180",4,18,12,7,0,4,1
"ENSP00000009180",5,15,9,4,0,4,1
"ENSP00000010404",1,125,48,40,0,8,0
"ENSP00000010404",2,30,16,10,0,6,0
"ENSP00000011292",1,115,52,38,0,13,1
"ENSP00000011292",2,69,29,18,3,8,0
"ENSP00000011292",3,60,21,12,0,9,0
"ENSP00000011292",4,59,20,10,0,9,1
"ENSP00000011292",5,57,18,11,2,4,1
"ENSP00000011292",6,34,15,7,0,8,0
"ENSP00000011292",7,25,9,7,0,2,0
"ENSP00000011473",1,79,29,22,0,7,0
"ENSP00000011473",2,48,18,10,0,8,0
"ENSP00000011473",3,42,14,12,0,2,0
"ENSP00000011473",4,33,17,11,0,5,1
"ENSP00000011473",5,32,7,3,0,4,0
"ENSP00000011473",6,25,11,8,0,3,0
"ENSP00000011653",1,125,37,19,1,16,1
"ENSP00000011653",2,85,24,11,1,11,1
"ENSP00000011653",3,82,36,21,2,11,2
"ENSP00000011653",4,69,24,16,1,7,0
"ENSP00000011653",5,57,26,16,0,10,0
"ENSP00000011653",6,40,21,11,2,7,1
"ENSP00000012049",1,87,47,33,2,10,2
"ENSP00000012049",2,75,26,17,0,8,1
"ENSP00000012049",3,71,27,13,0,14,0
"ENSP00000012049",4,67,39,23,1,15,0
"ENSP00000012049",5,45,18,11,1,6,0
"ENSP00000012049",6,37,10,6,1,3,0
"ENSP00000013034",1,84,29,21,0,8,0
"ENSP00000013034",2,51,19,12,0,7,0
"ENSP00000013034",3,28,12,9,0,3,0
"ENSP00000013034",4,14,3,3,0,0,0
"ENSP00000013070",1,73,14,7,0,7,0
"ENSP00000013070",2,70,14,8,1,5,0
"ENSP00000013070",3,51,27,16,1,9,1
"ENSP00000013070",4,47,20,15,0,5,0
"ENSP00000013070",5,45,12,8,0,4,0
"ENSP00000013070",6,43,13,7,0,6,0
"ENSP00000013070",7,36,10,3,0,7,0
"ENSP00000013070",8,32,10,7,0,3,0
"ENSP00000013070",9,28,6,5,0,1,0
"ENSP00000013222",1,55,20,9,0,9,2
"ENSP00000013222",2,30,14,9,0,5,0
"ENSP00000013222",3,29,15,8,2,4,1
"ENSP00000013222",4,28,19,13,0,5,1
"ENSP00000013222",5,20,11,5,1,4,1
"ENSP00000013222",6,20,13,4,1,6,2
"ENSP00000013222",7,18,8,5,1,2,0
"ENSP00000013222",8,17,8,6,0,2,0
"ENSP00000013222",9,17,10,5,1,4,0
"ENSP00000013222",10,15,9,5,3,1,0
"ENSP00000013222",11,14,5,3,1,1,0
"ENSP00000014914",1,290,145,96,6,39,4
"ENSP00000014914",2,67,33,28,0,5,0
"ENSP00000014930",1,58,26,17,0,9,0
"ENSP00000014930",2,39,21,14,0,7,0
"ENSP00000014930",3,36,16,11,0,4,1
"ENSP00000014930",4,22,12,9,2,1,0
"ENSP00000014930",5,22,7,6,0,1,0
"ENSP00000014930",6,12,4,3,0,1,0
"ENSP00000016171",1,116,43,34,0,9,0
"ENSP00000016171",2,71,27,17,1,9,0
"ENSP00000016171",3,65,26,16,0,9,1
"ENSP00000016171",4,63,30,22,0,8,0
"ENSP00000016171",5,58,22,16,0,6,0
"ENSP00000016171",6,37,15,11,0,4,0
"ENSP00000019103",1,81,36,23,1,12,0
"ENSP00000019103",2,75,39,27,0,10,2
"ENSP00000019103",3,74,32,19,2,11,0
"ENSP00000019103",4,63,22,14,1,7,0
"ENSP00000019103",5,45,21,14,1,4,2
"ENSP00000019103",6,40,22,14,1,6,1
"ENSP00000019103",7,36,15,14,0,1,0
"ENSP00000019103",8,26,9,6,0,3,0
"ENSP00000020945",1,195,56,36,0,20,0
"ENSP00000020945",2,73,21,14,0,7,0
"ENSP00000023064",1,457,207,115,6,75,11
"ENSP00000023064",2,30,12,9,0,3,0
"ENSP00000023897",1,134,20,5,0,15,0
"ENSP00000023897",2,111,22,8,0,14,0
"ENSP00000023897",3,98,33,17,0,15,1
"ENSP00000023897",4,70,20,6,0,13,1
"ENSP00000023897",5,43,13,8,0,4,1
"ENSP00000025399",1,251,52,32,0,20,0
"ENSP00000025399",2,65,16,9,1,6,0
"ENSP00000025399",3,47,15,9,0,6,0
"ENSP00000027335",1,101,44,34,0,10,0
"ENSP00000027335",2,85,33,21,1,9,2
"ENSP00000027335",3,78,27,14,2,11,0
"ENSP00000027335",4,62,30,19,0,9,2
"ENSP00000027335",5,57,23,15,0,7,1
"ENSP00000027335",6,54,22,17,0,5,0
"ENSP00000027335",7,53,23,13,0,8,2
"ENSP00000027335",8,53,18,12,0,6,0
"ENSP00000027335",9,49,28,20,0,7,1
"ENSP00000027335",10,44,17,10,0,7,0
"ENSP00000027335",11,44,18,12,0,6,0
"ENSP00000027335",12,43,21,13,2,6,0
"ENSP00000027335",13,40,14,6,0,8,0
"ENSP00000027335",14,37,14,12,1,0,1
"ENSP00000027335",15,32,12,7,0,5,0
"ENSP00000029410",1,171,87,60,0,26,1
"ENSP00000029410",2,156,73,45,1,24,3
"ENSP00000037243",1,50,7,5,0,2,0
"ENSP00000037243",2,26,8,6,0,2,0
"ENSP00000037243",3,23,9,6,0,3,0
"ENSP00000037243",4,18,6,3,0,3,0
"ENSP00000040584",1,152,76,46,1,29,0
"ENSP00000040584",2,90,27,17,0,10,0
"ENSP00000040663",1,72,32,25,0,7,0
"ENSP00000040663",2,66,23,10,2,10,1
"ENSP00000040663",3,51,8,4,1,3,0
"ENSP00000040663",4,50,23,15,1,7,0
"ENSP00000040663",5,45,24,19,0,5,0
"ENSP00000040663",6,40,16,5,2,8,1
"ENSP00000040663",7,30,16,13,0,3,0
"ENSP00000040663",8,15,3,3,0,0,0
"ENSP00000042931",1,383,167,100,3,55,9
"ENSP00000042931",2,126,25,11,3,11,0
"ENSP00000044462",1,110,17,8,0,8,1
"ENSP00000044462",2,83,20,8,0,12,0
"ENSP00000044462",3,37,15,10,0,4,1
"ENSP00000044462",4,31,8,1,0,6,1
"ENSP00000052754",1,92,28,17,2,8,1
"ENSP00000052754",2,80,32,26,0,6,0
"ENSP00000052754",3,76,29,17,0,11,1
"ENSP00000052754",4,72,28,18,1,8,1
"ENSP00000052754",5,39,17,9,0,7,1
"ENSP00000053469",1,91,43,30,1,11,1
"ENSP00000053469",2,73,30,21,0,9,0
"ENSP00000053469",3,37,21,12,0,8,1
"ENSP00000054666",1,30,12,8,0,4,0
"ENSP00000054666",2,29,12,7,0,5,0
"ENSP00000054666",3,21,11,6,0,5,0
"ENSP00000054666",4,11,6,3,0,3,0
"ENSP00000054666",5,9,6,4,0,1,1
"ENSP00000054950",1,82,25,15,1,9,0
"ENSP00000054950",2,74,30,19,1,10,0
"ENSP00000054950",3,55,5,3,0,2,0
"ENSP00000054950",4,46,14,8,0,5,1
"ENSP00000054950",5,41,13,9,0,4,0
"ENSP00000054950",6,33,5,3,0,2,0
"ENSP00000055077",1,317,109,61,1,43,4
"ENSP00000055077",2,37,25,13,0,11,1
"ENSP00000064571",1,42,12,7,0,5,0
"ENSP00000064571",2,41,16,7,0,9,0
"ENSP00000064571",3,35,8,3,0,5,0
"ENSP00000064571",4,27,9,7,0,2,0
"ENSP00000064571",5,24,6,4,0,2,0
"ENSP00000064571",6,16,5,1,0,4,0
"ENSP00000064571",7,16,8,5,0,3,0
"ENSP00000064724",1,109,47,24,1,22,0
"ENSP00000064724",2,41,3,2,0,1,0
"ENSP00000064724",3,29,13,11,0,2,0
"ENSP00000064724",4,28,2,2,0,0,0
"ENSP00000075120",1,435,120,68,3,46,3
"ENSP00000075120",2,61,22,12,0,10,0
"ENSP00000078429",1,131,50,17,0,33,0
"ENSP00000078429",2,87,36,10,0,26,0
"ENSP00000078429",3,54,23,6,1,14,2
"ENSP00000078429",4,47,19,8,0,10,1
"ENSP00000078429",5,40,8,2,0,6,0
"ENSP00000078527",1,85,34,23,1,9,1
"ENSP00000078527",2,74,26,22,0,4,0
"ENSP00000078527",3,70,29,23,1,5,0
"ENSP00000078527",4,57,24,17,0,7,0
"ENSP00000078527",5,54,22,11,0,11,0
"ENSP00000078527",6,54,25,16,1,8,0
"ENSP00000078527",7,54,24,13,0,10,1
"ENSP00000078527",8,45,20,12,0,8,0
"ENSP00000081029",1,272,100,72,1,26,1
"ENSP00000081029",2,51,25,15,3,6,1
"ENSP00000084795",1,63,25,13,0,12,0
"ENSP00000084795",2,41,13,5,0,8,0
"ENSP00000084795",3,37,14,5,0,9,0
"ENSP00000084795",4,31,13,8,0,5,0
"ENSP00000084795",5,18,12,7,0,5,0
"ENSP00000084798",1,50,20,7,0,13,0
"ENSP00000084798",2,41,11,7,0,4,0
"ENSP00000084798",3,39,16,10,0,6,0
"ENSP00000084798",4,35,6,2,0,4,0
"ENSP00000084798",5,26,6,5,0,1,0
"ENSP00000084798",6,26,9,8,0,1,0
"ENSP00000084798",7,25,5,4,0,1,0
"ENSP00000084798",8,23,5,3,0,2,0
"ENSP00000084798",9,19,8,5,0,3,0
"ENSP00000084798",10,16,4,4,0,0,0
"ENSP00000084798",11,15,7,6,0,1,0
"ENSP00000084798",12,13,4,1,0,3,0
"ENSP00000085068",1,47,21,13,0,7,1
"ENSP00000085068",2,39,17,12,0,5,0
"ENSP00000085068",3,34,17,10,0,6,1
"ENSP00000085068",4,32,16,9,0,7,0
"ENSP00000085068",5,25,9,4,0,4,1
"ENSP00000085068",6,23,13,10,0,3,0
"ENSP00000085068",7,21,6,5,0,1,0
"ENSP00000085219",1,106,42,28,0,12,2
"ENSP00000085219",2,101,52,33,2,16,1
"ENSP00000085219",3,97,45,31,1,11,2
"ENSP00000085219",4,93,34,24,0,10,0
"ENSP00000085219",5,90,38,26,1,11,0
"ENSP00000085219",6,70,26,14,1,9,2
"ENSP00000085219",7,54,24,16,0,8,0
"ENSP00000085219",8,54,27,17,0,10,0
"ENSP00000085219",9,52,27,18,1,7,1
"ENSP00000085219",10,46,20,15,1,4,0
"ENSP00000085219",11,46,13,9,0,4,0
"ENSP00000085219",12,38,16,10,0,5,1
"ENSP00000155926",1,282,87,45,0,41,1
"ENSP00000155926",2,61,29,14,1,14,0
"ENSP00000157600",1,109,46,30,2,14,0
"ENSP00000157600",2,107,44,33,2,9,0
"ENSP00000157600",3,97,47,32,0,13,2
"ENSP00000157600",4,52,21,10,1,10,0
"ENSP00000158009",1,116,47,31,1,15,0
"ENSP00000158009",2,107,51,36,1,12,2
"ENSP00000158009",3,101,42,22,2,17,1
"ENSP00000158771",1,67,21,10,0,11,0
"ENSP00000158771",2,54,19,7,0,12,0
"ENSP00000158771",3,52,20,9,0,11,0
"ENSP00000158771",4,39,7,4,0,3,0
"ENSP00000158771",5,27,11,8,0,3,0
"ENSP00000160262",1,434,198,120,4,70,4
"ENSP00000160262",2,62,32,19,2,10,1
"ENSP00000160262",3,51,30,22,1,6,1
"ENSP00000160382",1,110,35,11,0,24,0
"ENSP00000160382",2,107,34,13,0,20,1
"ENSP00000160382",3,63,20,8,1,10,1
"ENSP00000160382",4,43,8,3,0,5,0
"ENSP00000160382",5,39,11,5,0,6,0
"ENSP00000160382",6,33,12,4,0,7,1
"ENSP00000160382",7,31,14,3,0,11,0
"ENSP00000160827",1,120,42,26,1,15,0
"ENSP00000160827",2,116,55,39,2,13,1
"ENSP00000160827",3,113,47,29,0,17,1
"ENSP00000160827",4,107,45,27,1,16,1
"ENSP00000160827",5,85,22,18,0,4,0
"ENSP00000160827",6,75,34,28,0,6,0
"ENSP00000160827",7,49,23,14,0,9,0
"ENSP00000161006",1,187,82,50,1,31,0
"ENSP00000161006",2,54,15,7,0,8,0
"ENSP00000161006",3,40,23,12,0,11,0
"ENSP00000161006",4,36,14,10,0,4,0
"ENSP00000161559",1,60,23,19,0,4,0
"ENSP00000161559",2,46,18,13,0,5,0
"ENSP00000161559",3,42,7,5,1,1,0
"ENSP00000161559",4,38,11,8,0,2,1
"ENSP00000161559",5,37,17,12,0,5,0
"ENSP00000161559",6,36,12,8,0,4,0
"ENSP00000161559",7,36,13,11,0,2,0
"ENSP00000161559",8,34,14,7,0,6,1
"ENSP00000161559",9,33,11,7,0,4,0
"ENSP00000161559",10,33,15,13,0,2,0
"ENSP00000161559",11,26,14,9,1,4,0
"ENSP00000161559",12,25,5,3,0,2,0
"ENSP00000161559",13,24,8,4,0,4,0
"ENSP00000161559",14,23,4,2,1,1,0
"ENSP00000161559",15,17,7,7,0,0,0
"ENSP00000161559",16,16,6,3,0,3,0
"ENSP00000162044",1,94,41,27,0,11,3
"ENSP00000162044",2,92,33,20,1,11,1
"ENSP00000162044",3,81,36,27,0,9,0
"ENSP00000162044",4,78,30,19,0,10,1
"ENSP00000162044",5,68,27,20,0,7,0
"ENSP00000162044",6,66,23,16,1,4,2
"ENSP00000162749",1,143,55,34,0,21,0
"ENSP00000162749",2,113,24,15,1,8,0
"ENSP00000162749",3,69,22,10,1,11,0
"ENSP00000162749",4,54,19,11,0,8,0
"ENSP00000162749",5,46,18,10,0,7,1
"ENSP00000162749",6,30,13,4,0,8,1
"ENSP00000164133",1,87,20,14,0,6,0
"ENSP00000164133",2,75,22,6,0,16,0
"ENSP00000164133",3,71,17,11,0,6,0
"ENSP00000164133",4,66,12,8,0,4,0
"ENSP00000164133",5,33,12,6,0,6,0
"ENSP00000164133",6,31,11,3,0,8,0
"ENSP00000164133",7,29,12,7,0,5,0
"ENSP00000164133",8,28,6,2,0,3,1
"ENSP00000164133",9,21,11,7,0,4,0
"ENSP00000164133",10,19,10,7,0,3,0
"ENSP00000164133",11,19,9,7,0,2,0
"ENSP00000164133",12,18,3,1,0,1,1
"ENSP00000164305",1,497,164,116,5,41,2
"ENSP00000164305",2,57,19,13,0,6,0
"ENSP00000166139",1,80,36,17,0,19,0
"ENSP00000166139",2,51,4,2,0,2,0
"ENSP00000166139",3,36,6,2,1,2,1
"ENSP00000166139",4,34,2,1,0,1,0
"ENSP00000166139",5,33,13,7,0,6,0
"ENSP00000166139",6,29,14,7,0,7,0
"ENSP00000166534",1,107,45,31,0,14,0
"ENSP00000166534",2,76,29,21,0,8,0
"ENSP00000166534",3,74,22,15,0,7,0
"ENSP00000166534",4,63,26,15,0,11,0
"ENSP00000166534",5,49,16,11,1,4,0
"ENSP00000166534",6,49,16,12,0,4,0
"ENSP00000166534",7,43,15,12,0,3,0
"ENSP00000166534",8,40,16,10,0,6,0
"ENSP00000166534",9,34,16,12,0,4,0
"ENSP00000167588",1,107,53,35,0,16,2
"ENSP00000167588",2,91,40,23,3,14,0
"ENSP00000167588",3,67,35,20,1,13,1
"ENSP00000167588",4,66,30,24,1,4,1
"ENSP00000167588",5,61,24,15,0,9,0
"ENSP00000167588",6,32,11,5,1,5,0
"ENSP00000169565",1,167,78,55,1,22,0
"ENSP00000169565",2,75,36,20,0,13,3
"ENSP00000169565",3,54,27,19,1,6,1
"ENSP00000170150",1,93,33,22,1,10,0
"ENSP00000170150",2,64,28,17,4,7,0
"ENSP00000170150",3,56,27,19,0,6,2
"ENSP00000170150",4,54,21,13,0,7,1
"ENSP00000170150",5,54,26,17,0,9,0
"ENSP00000170150",6,52,26,18,0,8,0
"ENSP00000170150",7,46,18,10,1,6,1
"ENSP00000170150",8,39,17,8,0,8,1
"ENSP00000170447",1,114,40,24,0,15,1
"ENSP00000170447",2,80,28,21,0,7,0
"ENSP00000170447",3,57,29,23,0,6,0
"ENSP00000170447",4,51,22,14,0,8,0
"ENSP00000170447",5,43,24,14,0,8,2
"ENSP00000170447",6,39,11,7,0,3,1
"ENSP00000170447",7,32,14,8,0,6,0
"ENSP00000172229",1,89,38,22,1,14,1
"ENSP00000172229",2,86,38,23,0,13,2
"ENSP00000172229",3,70,32,17,1,13,1
"ENSP00000172229",4,49,18,11,1,6,0
"ENSP00000172229",5,43,12,6,0,5,1
"ENSP00000172229",6,36,17,13,0,4,0
"ENSP00000172229",7,27,3,3,0,0,0
"ENSP00000172229",8,27,13,7,0,5,1
"ENSP00000174653",1,249,91,52,0,38,1
"ENSP00000174653",2,169,50,35,0,15,0
"ENSP00000175506",1,74,22,13,0,9,0
"ENSP00000175506",2,70,20,12,1,7,0
"ENSP00000175506",3,68,21,15,1,5,0
"ENSP00000175506",4,57,21,16,0,5,0
"ENSP00000175506",5,55,17,11,0,5,1
"ENSP00000175506",6,53,14,6,0,7,1
"ENSP00000175506",7,50,19,11,0,8,0
"ENSP00000175506",8,49,17,13,0,4,0
"ENSP00000175506",9,44,13,10,0,3,0
"ENSP00000175506",10,41,18,10,1,7,0
"ENSP00000176183",1,289,163,96,3,63,1
"ENSP00000176183",2,89,23,8,5,6,4
"ENSP00000176183",3,41,4,2,0,2,0
"ENSP00000178638",1,86,38,21,0,16,1
"ENSP00000178638",2,81,29,20,1,8,0
"ENSP00000178638",3,78,41,23,0,17,1
"ENSP00000178638",4,50,20,13,0,7,0
"ENSP00000178638",5,30,11,9,0,2,0
"ENSP00000178638",6,29,16,12,1,3,0
"ENSP00000179259",1,57,19,7,1,10,1
"ENSP00000179259",2,53,21,14,0,7,0
"ENSP00000179259",3,50,17,13,0,4,0
"ENSP00000179259",4,34,8,7,0,0,1
"ENSP00000179259",5,29,9,7,0,2,0
"ENSP00000179259",6,28,9,7,0,2,0
"ENSP00000179259",7,19,4,4,0,0,0
"ENSP00000180173",1,101,60,44,0,12,4
"ENSP00000180173",2,96,45,35,0,10,0
"ENSP00000180173",3,87,31,19,0,12,0
"ENSP00000180173",4,75,36,24,0,10,2
"ENSP00000180173",5,72,36,26,1,9,0
"ENSP00000180173",6,65,24,17,0,7,0
"ENSP00000180173",7,57,30,24,0,6,0
"ENSP00000180173",8,55,28,20,2,6,0
"ENSP00000180173",9,52,22,17,1,3,1
"ENSP00000181383",1,69,36,23,0,12,1
"ENSP00000181383",2,57,13,7,1,4,1
"ENSP00000181383",3,48,17,10,0,7,0
"ENSP00000181383",4,39,17,9,1,7,0
"ENSP00000181383",5,38,12,7,1,2,2
"ENSP00000181383",6,37,14,9,1,4,0
"ENSP00000181383",7,31,9,6,0,3,0
"ENSP00000181383",8,30,13,7,0,6,0
"ENSP00000181383",9,28,13,6,0,6,1
"ENSP00000181383",10,27,7,3,1,3,0
"ENSP00000181383",11,19,7,6,0,1,0
"ENSP00000182290",1,173,68,41,4,22,1
"ENSP00000182290",2,71,30,24,0,6,0
"ENSP00000182290",3,40,15,9,0,6,0
"ENSP00000182290",4,36,18,11,0,7,0
"ENSP00000182377",1,97,28,18,0,10,0
"ENSP00000182377",2,89,30,20,0,9,1
"ENSP00000182377",3,86,32,22,1,8,1
"ENSP00000182377",4,75,20,12,0,8,0
"ENSP00000182377",5,47,15,8,0,7,0
"ENSP00000182377",6,38,15,6,0,9,0
"ENSP00000182377",7,34,9,8,0,1,0
"ENSP00000182377",8,29,7,5,0,2,0
"ENSP00000182377",9,20,5,2,0,3,0
"ENSP00000182527",1,311,105,66,1,35,3
"ENSP00000182527",2,59,20,14,0,6,0
"ENSP00000184183",1,80,9,4,1,4,0
"ENSP00000184183",2,76,32,19,0,10,3
"ENSP00000184183",3,56,29,15,1,11,2
"ENSP00000184266",1,70,33,27,0,6,0
"ENSP00000184266",2,37,17,11,0,6,0
"ENSP00000184266",3,22,9,4,0,5,0
"ENSP00000187762",1,105,42,23,0,16,3
"ENSP00000187762",2,63,30,18,1,11,0
"ENSP00000187762",3,47,18,8,2,7,1
"ENSP00000187762",4,43,18,12,0,6,0
"ENSP00000187762",5,41,20,10,1,9,0
"ENSP00000188312",1,154,44,28,0,16,0
"ENSP00000188312",2,54,17,10,0,7,0
"ENSP00000188312",3,44,14,9,0,4,1
"ENSP00000188312",4,43,12,5,0,6,1
"ENSP00000188312",5,36,12,10,0,2,0
"ENSP00000188312",6,34,10,7,0,3,0
"ENSP00000188312",7,31,6,5,0,1,0
"ENSP00000190983",1,189,81,46,2,29,4
"ENSP00000190983",2,61,25,19,0,6,0
"ENSP00000192314",1,76,17,8,1,8,0
"ENSP00000192314",2,61,37,22,1,14,0
"ENSP00000192314",3,61,31,22,0,9,0
"ENSP00000192314",4,57,22,15,3,4,0
"ENSP00000192314",5,54,8,3,1,4,0
"ENSP00000192314",6,45,11,10,0,1,0
"ENSP00000192314",7,44,21,17,2,2,0
"ENSP00000196371",1,133,40,24,2,14,0
