"ENSG","cluster_membership","benign.mut","pathogenic.mut"
"ENSG00000003436",5,0,0
"ENSG00000003436",6,0,0
"ENSG00000003509",1,0,0
"ENSG00000003509",2,0,0
"ENSG00000003509",3,0,0
"ENSG00000003509",4,5,0
"ENSG00000003509",5,1,0
"ENSG00000003509",6,1,0
"ENSG00000003509",7,2,0
"ENSG00000003509",8,1,0
"ENSG00000003509",9,2,0
"ENSG00000003509",10,0,0
"ENSG00000003509",11,1,0
"ENSG00000003509",12,0,0
"ENSG00000003509",13,0,0
"ENSG00000003509",14,0,0
"ENSG00000003987",1,0,0
"ENSG00000003987",2,0,0
"ENSG00000003987",3,0,0
"ENSG00000003987",4,0,0
"ENSG00000003987",5,0,0
"ENSG00000003987",6,0,0
"ENSG00000003987",7,0,0
"ENSG00000003987",8,0,0
"ENSG00000003987",9,0,0
"ENSG00000003989",1,0,0
"ENSG00000003989",2,0,0
"ENSG00000003989",3,0,0
"ENSG00000003989",4,0,0
"ENSG00000003989",5,0,0
"ENSG00000003989",6,0,0
"ENSG00000003989",7,0,0
"ENSG00000003989",8,0,0
"ENSG00000003989",9,0,0
"ENSG00000004059",1,0,0
"ENSG00000004059",2,0,0
"ENSG00000004139",1,0,0
"ENSG00000004139",2,2,0
"ENSG00000004139",3,0,0
"ENSG00000004139",4,0,0
"ENSG00000004139",5,0,0
"ENSG00000004139",6,0,0
"ENSG00000004455",1,3,9
"ENSG00000004455",2,3,1
"ENSG00000004455",3,1,1
"ENSG00000004455",4,0,1
"ENSG00000004468",1,0,0
"ENSG00000004468",2,0,0
"ENSG00000004468",3,0,0
"ENSG00000004468",4,0,0
"ENSG00000004468",5,0,0
"ENSG00000004776",1,0,0
"ENSG00000004776",2,0,0
"ENSG00000004776",3,0,0
"ENSG00000004776",4,0,0
"ENSG00000004779",1,0,0
"ENSG00000004779",2,0,0
"ENSG00000004779",3,0,0
"ENSG00000004799",1,0,0
"ENSG00000004799",2,0,0
"ENSG00000004799",3,0,0
"ENSG00000004799",4,0,0
"ENSG00000004799",5,0,0
"ENSG00000004799",6,0,0
"ENSG00000004799",7,0,0
"ENSG00000004799",8,0,0
"ENSG00000004799",9,0,0
"ENSG00000004799",10,0,0
"ENSG00000004809",1,0,0
"ENSG00000004809",2,0,0
"ENSG00000004809",3,0,0
"ENSG00000004809",4,0,0
"ENSG00000004809",5,0,0
"ENSG00000004809",6,0,0
"ENSG00000004809",7,0,0
"ENSG00000004809",8,0,0
"ENSG00000004809",9,0,0
"ENSG00000004838",1,2,0
"ENSG00000004838",2,2,2
"ENSG00000004838",3,5,0
"ENSG00000004838",4,0,4
"ENSG00000004838",5,0,0
"ENSG00000004838",6,1,0
"ENSG00000004948",1,0,0
"ENSG00000004948",2,0,0
"ENSG00000004948",3,0,0
"ENSG00000004948",4,0,0
"ENSG00000004948",5,0,0
"ENSG00000004948",6,0,1
"ENSG00000004948",7,0,0
"ENSG00000004948",8,0,0
"ENSG00000004948",9,0,0
"ENSG00000005001",1,1,0
"ENSG00000005001",2,0,0
"ENSG00000005001",3,0,0
"ENSG00000005001",4,0,0
"ENSG00000005020",1,0,0
"ENSG00000005020",2,0,0
"ENSG00000005020",3,0,0
"ENSG00000005020",4,0,0
"ENSG00000005059",1,0,0
"ENSG00000005059",2,0,0
"ENSG00000005073",1,0,0
"ENSG00000005073",2,0,0
"ENSG00000005075",1,0,0
"ENSG00000005075",2,0,0
"ENSG00000005187",1,0,0
"ENSG00000005187",2,0,0
"ENSG00000005187",3,0,0
"ENSG00000005187",4,0,0
"ENSG00000005187",5,0,0
"ENSG00000005187",6,0,0
"ENSG00000005187",7,0,0
"ENSG00000005187",8,0,0
"ENSG00000005187",9,0,0
"ENSG00000005194",1,0,0
"ENSG00000005194",2,0,0
"ENSG00000005243",1,0,0
"ENSG00000005243",2,0,0
"ENSG00000005243",3,0,0
"ENSG00000005243",4,0,0
"ENSG00000005243",5,0,0
"ENSG00000005243",6,0,0
"ENSG00000005243",7,0,0
"ENSG00000005249",1,0,0
"ENSG00000005249",2,0,0
"ENSG00000005249",3,0,0
"ENSG00000005249",4,0,0
"ENSG00000005249",5,0,0
"ENSG00000005249",6,0,0
"ENSG00000005249",7,0,0
"ENSG00000005249",8,0,0
"ENSG00000005249",9,0,0
"ENSG00000005421",1,0,0
"ENSG00000005421",2,0,0
"ENSG00000005448",1,0,0
"ENSG00000005448",2,0,0
"ENSG00000005448",3,0,0
"ENSG00000005448",4,0,0
"ENSG00000005469",1,0,0
"ENSG00000005469",2,0,0
"ENSG00000005469",3,0,0
"ENSG00000005469",4,0,0
"ENSG00000005469",5,0,0
"ENSG00000005469",6,0,0
"ENSG00000005469",7,0,0
"ENSG00000005469",8,0,0
"ENSG00000005469",9,0,0
"ENSG00000005469",10,0,0
"ENSG00000005469",11,0,0
"ENSG00000005513",1,0,0
"ENSG00000005513",2,0,0
"ENSG00000005513",3,0,0
"ENSG00000005513",4,0,0
"ENSG00000005513",5,0,0
"ENSG00000005812",1,0,0
"ENSG00000005812",2,0,0
"ENSG00000005882",1,0,0
"ENSG00000005882",2,0,0
"ENSG00000005882",3,0,0
"ENSG00000005882",4,0,0
"ENSG00000005882",5,0,0
"ENSG00000005882",6,0,0
"ENSG00000005882",7,0,0
"ENSG00000005882",8,0,0
"ENSG00000005882",9,0,0
"ENSG00000005882",10,0,0
"ENSG00000005981",1,0,0
"ENSG00000005981",2,0,0
"ENSG00000005981",3,0,0
"ENSG00000006007",1,0,0
"ENSG00000006007",2,0,0
"ENSG00000006015",1,0,0
"ENSG00000006015",2,0,0
"ENSG00000006015",3,0,0
"ENSG00000006015",4,0,0
"ENSG00000006016",1,2,0
"ENSG00000006016",2,1,0
"ENSG00000006016",3,2,0
"ENSG00000006016",4,0,0
"ENSG00000006016",5,2,0
"ENSG00000006016",6,1,0
"ENSG00000006042",1,1,0
"ENSG00000006042",2,0,0
"ENSG00000006042",3,0,0
"ENSG00000006059",1,0,0
"ENSG00000006059",2,0,0
"ENSG00000006059",3,0,0
"ENSG00000006059",4,0,0
"ENSG00000006059",5,0,0
"ENSG00000006074",1,0,0
"ENSG00000006074",2,0,0
"ENSG00000006074",3,0,0
"ENSG00000006075",1,0,0
"ENSG00000006075",2,0,0
"ENSG00000006075",3,0,0
"ENSG00000006075",4,0,0
"ENSG00000006116",1,0,0
"ENSG00000006116",2,0,0
"ENSG00000006116",3,0,0
"ENSG00000006116",4,0,0
"ENSG00000006116",5,0,0
"ENSG00000006116",6,0,0
"ENSG00000006116",7,0,0
"ENSG00000006377",1,0,0
"ENSG00000006377",2,0,0
"ENSG00000006377",3,0,0
"ENSG00000006377",4,0,0
"ENSG00000006451",1,1,0
"ENSG00000006451",2,0,0
"ENSG00000006451",3,0,0
"ENSG00000006451",4,0,0
"ENSG00000006451",5,0,0
"ENSG00000006451",6,0,0
"ENSG00000006451",7,0,0
"ENSG00000006468",1,0,0
"ENSG00000006468",2,0,0
"ENSG00000006468",3,0,0
"ENSG00000006468",4,0,0
"ENSG00000006530",1,1,2
"ENSG00000006530",2,1,3
"ENSG00000006530",3,1,2
"ENSG00000006530",4,2,1
"ENSG00000006530",5,1,2
"ENSG00000006530",6,3,0
"ENSG00000006530",7,0,0
"ENSG00000006530",8,1,0
"ENSG00000006530",9,0,0
"ENSG00000006534",1,0,0
"ENSG00000006534",2,0,0
"ENSG00000006534",3,0,0
"ENSG00000006534",4,0,0
"ENSG00000006534",5,0,0
"ENSG00000006534",6,0,0
"ENSG00000006534",7,0,0
"ENSG00000006576",1,0,0
"ENSG00000006576",2,0,0
"ENSG00000006606",1,0,0
"ENSG00000006606",2,0,0
"ENSG00000006606",3,0,0
"ENSG00000006625",1,0,0
"ENSG00000006625",2,0,0
"ENSG00000006625",3,0,0
"ENSG00000006625",4,0,0
"ENSG00000006625",5,0,0
"ENSG00000006625",6,0,0
"ENSG00000006625",7,0,0
"ENSG00000006625",8,0,0
"ENSG00000006638",1,2,0
"ENSG00000006638",2,3,0
"ENSG00000006638",3,1,0
"ENSG00000006638",4,2,0
"ENSG00000006638",5,1,0
"ENSG00000006638",6,0,0
"ENSG00000006638",7,0,0
"ENSG00000006652",1,0,1
"ENSG00000006652",2,0,0
"ENSG00000006652",3,0,0
"ENSG00000006659",1,0,0
"ENSG00000006659",2,0,0
"ENSG00000006659",3,0,0
"ENSG00000006659",4,0,0
"ENSG00000006659",5,0,0
"ENSG00000006659",6,0,0
"ENSG00000006695",1,5,14
"ENSG00000006695",2,6,2
"ENSG00000006744",1,6,0
"ENSG00000006744",2,6,2
"ENSG00000006744",3,2,0
"ENSG00000006744",4,1,0
"ENSG00000006744",5,2,2
"ENSG00000006744",6,0,2
"ENSG00000006744",7,1,0
"ENSG00000006744",8,3,0
"ENSG00000006744",9,4,0
"ENSG00000006744",10,0,0
"ENSG00000006744",11,2,0
"ENSG00000006744",12,1,0
"ENSG00000006744",13,4,1
"ENSG00000006744",14,3,0
"ENSG00000006744",15,1,0
"ENSG00000006744",16,1,0
"ENSG00000006744",17,0,0
"ENSG00000006744",18,1,0
"ENSG00000006747",1,0,0
"ENSG00000006747",2,0,0
"ENSG00000006747",3,0,0
"ENSG00000006747",4,0,0
"ENSG00000006747",5,0,0
"ENSG00000006747",6,0,0
"ENSG00000006747",7,0,0
"ENSG00000006831",1,0,0
"ENSG00000006831",2,0,0
"ENSG00000007001",1,0,0
"ENSG00000007001",2,0,0
"ENSG00000007038",1,0,0
"ENSG00000007038",2,0,0
"ENSG00000007038",3,0,0
"ENSG00000007062",1,12,1
"ENSG00000007062",2,2,1
"ENSG00000007062",3,3,2
"ENSG00000007062",4,1,1
"ENSG00000007062",5,1,3
"ENSG00000007062",6,3,2
"ENSG00000007062",7,2,2
"ENSG00000007062",8,0,0
"ENSG00000007080",1,0,0
"ENSG00000007080",2,0,0
"ENSG00000007129",1,0,0
"ENSG00000007129",2,0,0
"ENSG00000007129",3,0,0
"ENSG00000007129",4,0,0
"ENSG00000007129",5,0,0
"ENSG00000007129",6,0,0
"ENSG00000007129",7,0,0
"ENSG00000007168",1,31,18
"ENSG00000007168",2,3,22
"ENSG00000007255",1,0,0
"ENSG00000007255",2,0,0
"ENSG00000007255",3,0,0
"ENSG00000007255",4,0,0
"ENSG00000007306",1,0,0
"ENSG00000007306",2,0,0
"ENSG00000007306",3,0,0
"ENSG00000007306",4,0,0
"ENSG00000007306",5,0,0
"ENSG00000007306",6,0,0
"ENSG00000007306",7,0,0
"ENSG00000007306",8,0,0
"ENSG00000007312",1,2,0
"ENSG00000007312",2,2,0
"ENSG00000007312",3,1,0
"ENSG00000007312",4,0,0
"ENSG00000007312",5,0,0
"ENSG00000007312",6,0,0
"ENSG00000007372",1,3,27
"ENSG00000007372",2,0,13
"ENSG00000007372",3,11,12
"ENSG00000007372",4,11,0
"ENSG00000007372",5,0,10
"ENSG00000007376",1,1,0
"ENSG00000007376",2,0,0
"ENSG00000007866",1,0,0
"ENSG00000007866",2,0,0
"ENSG00000007866",3,0,0
"ENSG00000007866",4,0,0
"ENSG00000007866",5,0,0
"ENSG00000007866",6,0,0
"ENSG00000007866",7,0,0
"ENSG00000007908",1,0,0
"ENSG00000007908",2,0,0
"ENSG00000007908",3,0,0
"ENSG00000007908",4,0,0
"ENSG00000007908",5,0,0
"ENSG00000007908",6,0,0
"ENSG00000007923",1,0,0
"ENSG00000007923",2,0,0
"ENSG00000007923",3,0,0
"ENSG00000007923",4,0,0
"ENSG00000007968",1,0,0
"ENSG00000007968",2,0,0
"ENSG00000007968",3,0,0
"ENSG00000007968",4,0,0
"ENSG00000007968",5,0,0
"ENSG00000007968",6,0,0
"ENSG00000008018",1,0,0
"ENSG00000008018",2,0,0
"ENSG00000008018",3,0,0
"ENSG00000008196",1,6,0
"ENSG00000008196",2,4,0
"ENSG00000008196",3,3,0
"ENSG00000008196",4,0,0
"ENSG00000008196",5,2,0
"ENSG00000008196",6,1,0
"ENSG00000008197",1,0,0
"ENSG00000008197",2,0,0
"ENSG00000008256",1,0,0
"ENSG00000008256",2,0,0
"ENSG00000008256",3,0,0
"ENSG00000008256",4,0,0
"ENSG00000008256",5,0,0
"ENSG00000008256",6,0,0
"ENSG00000008282",1,0,0
"ENSG00000008282",2,0,0
"ENSG00000008282",3,0,0
"ENSG00000008282",4,0,0
"ENSG00000008282",5,0,0
"ENSG00000008282",6,0,0
"ENSG00000008283",1,1,0
"ENSG00000008283",2,0,0
"ENSG00000008394",1,0,0
"ENSG00000008394",2,0,0
"ENSG00000008438",1,0,0
"ENSG00000008438",2,0,0
"ENSG00000008438",3,0,0
"ENSG00000008438",4,0,0
"ENSG00000008438",5,0,0
"ENSG00000008438",6,0,0
"ENSG00000008513",1,0,0
"ENSG00000008513",2,0,0
"ENSG00000008513",3,0,0
"ENSG00000008513",4,0,0
"ENSG00000008952",1,0,0
"ENSG00000008952",2,0,0
"ENSG00000008952",3,0,0
"ENSG00000008952",4,0,0
"ENSG00000008952",5,0,0
"ENSG00000008988",1,0,0
"ENSG00000008988",2,0,0
"ENSG00000008988",3,0,0
"ENSG00000008988",4,0,0
"ENSG00000008988",5,0,0
"ENSG00000009765",1,4,0
"ENSG00000009765",2,0,0
"ENSG00000009844",1,0,0
"ENSG00000009844",2,0,0
"ENSG00000010030",1,0,0
"ENSG00000010030",2,0,0
"ENSG00000010030",3,0,0
"ENSG00000010030",4,0,0
"ENSG00000010030",5,0,0
"ENSG00000010030",6,0,0
"ENSG00000010030",7,0,0
"ENSG00000010030",8,0,0
"ENSG00000010030",9,0,0
"ENSG00000010030",10,0,0
"ENSG00000010256",1,0,0
"ENSG00000010256",2,0,0
"ENSG00000010256",3,0,0
"ENSG00000010256",4,0,0
"ENSG00000010256",5,0,0
"ENSG00000010256",6,0,0
"ENSG00000010256",7,0,0
"ENSG00000010256",8,0,0
"ENSG00000010270",1,0,0
"ENSG00000010270",2,0,0
"ENSG00000010270",3,0,0
"ENSG00000010270",4,0,0
"ENSG00000010270",5,0,0
"ENSG00000010270",6,0,0
"ENSG00000010270",7,0,0
"ENSG00000010270",8,0,0
"ENSG00000010278",1,0,0
"ENSG00000010278",2,0,0
"ENSG00000010278",3,0,0
"ENSG00000010278",4,0,0
"ENSG00000010278",5,0,0
"ENSG00000010282",1,0,0
"ENSG00000010282",2,0,0
"ENSG00000010282",3,0,0
"ENSG00000010282",4,0,0
"ENSG00000010282",5,0,0
"ENSG00000010310",1,0,0
"ENSG00000010310",2,0,0
"ENSG00000010310",3,0,0
"ENSG00000010310",4,0,0
"ENSG00000010310",5,0,0
"ENSG00000010310",6,0,0
"ENSG00000010310",7,0,0
"ENSG00000010318",1,1,0
"ENSG00000010318",2,0,0
"ENSG00000010361",1,1,0
"ENSG00000010361",2,0,0
"ENSG00000010361",3,0,0
"ENSG00000010361",4,0,0
"ENSG00000010361",5,0,1
"ENSG00000010361",6,0,0
"ENSG00000010361",7,1,1
"ENSG00000010438",1,0,0
"ENSG00000010438",2,0,0
"ENSG00000010438",3,0,0
"ENSG00000010438",4,0,0
"ENSG00000010438",5,0,0
"ENSG00000010438",6,0,0
"ENSG00000010438",7,0,0
"ENSG00000010610",1,0,0
"ENSG00000010610",2,0,1
"ENSG00000010610",3,0,0
"ENSG00000010610",4,0,0
"ENSG00000010610",5,0,0
"ENSG00000010610",6,0,0
"ENSG00000010626",1,0,0
"ENSG00000010626",2,0,0
"ENSG00000010626",3,0,0
"ENSG00000010626",4,0,0
"ENSG00000010626",5,0,0
"ENSG00000010626",6,0,0
"ENSG00000010626",7,0,0
"ENSG00000010626",8,0,0
"ENSG00000010626",9,0,0
"ENSG00000010626",10,0,0
"ENSG00000010626",11,0,0
"ENSG00000010626",12,0,0
"ENSG00000010704",1,2,3
"ENSG00000010704",2,1,2
"ENSG00000010704",3,0,2
"ENSG00000010704",4,1,1
"ENSG00000010704",5,0,2
"ENSG00000010704",6,2,0
"ENSG00000010932",1,0,0
"ENSG00000010932",2,0,0
"ENSG00000010932",3,0,0
"ENSG00000010932",4,0,0
"ENSG00000010932",5,0,0
"ENSG00000010932",6,0,0
"ENSG00000010932",7,0,0
"ENSG00000010932",8,0,0
"ENSG00000010932",9,0,0
"ENSG00000010932",10,0,0
"ENSG00000010932",11,0,0
"ENSG00000010932",12,0,0
"ENSG00000010932",13,0,0
"ENSG00000010932",14,0,0
"ENSG00000010932",15,0,0
"ENSG00000010932",16,0,0
"ENSG00000010932",17,0,0
"ENSG00000010932",18,0,0
"ENSG00000010932",19,0,0
"ENSG00000011009",1,0,0
"ENSG00000011009",2,0,0
"ENSG00000011052",1,0,0
"ENSG00000011052",2,0,0
"ENSG00000011052",3,0,0
"ENSG00000011052",4,0,0
"ENSG00000011052",5,0,0
"ENSG00000011105",1,0,0
"ENSG00000011105",2,0,0
"ENSG00000011198",1,10,0
"ENSG00000011198",2,1,0
"ENSG00000011304",1,0,0
"ENSG00000011304",2,0,0
"ENSG00000011304",3,0,0
"ENSG00000011304",4,0,0
"ENSG00000011332",1,0,0
"ENSG00000011332",2,0,0
"ENSG00000011332",3,0,0
"ENSG00000011332",4,0,0
"ENSG00000011332",5,0,0
"ENSG00000011332",6,0,0
"ENSG00000011332",7,0,0
"ENSG00000011332",8,0,0
"ENSG00000011332",9,0,0
"ENSG00000011332",10,0,0
"ENSG00000011332",11,0,0
"ENSG00000011332",12,0,0
"ENSG00000011332",13,0,0
"ENSG00000011332",14,0,0
"ENSG00000011332",15,0,0
"ENSG00000011332",16,0,0
"ENSG00000011332",17,0,0
"ENSG00000011332",18,0,0
"ENSG00000011422",1,0,0
"ENSG00000011422",2,0,0
"ENSG00000011422",3,0,0
"ENSG00000011422",4,0,0
"ENSG00000011465",1,1,0
"ENSG00000011465",2,1,0
"ENSG00000011465",3,1,0
"ENSG00000011465",4,0,0
"ENSG00000011465",5,2,0
"ENSG00000011478",1,0,0
"ENSG00000011478",2,0,0
"ENSG00000011478",3,0,0
"ENSG00000011478",4,0,0
"ENSG00000011478",5,0,0
"ENSG00000011478",6,0,0
"ENSG00000012124",1,0,0
"ENSG00000012124",2,0,1
"ENSG00000012124",3,0,0
"ENSG00000012124",4,0,0
"ENSG00000012124",5,0,1
"ENSG00000012124",6,0,0
"ENSG00000012124",7,0,0
"ENSG00000012124",8,0,0
"ENSG00000012124",9,0,0
"ENSG00000012124",10,0,0
"ENSG00000012124",11,0,0
"ENSG00000012124",12,0,0
"ENSG00000012223",1,0,0
"ENSG00000012223",2,0,0
"ENSG00000012223",3,0,0
"ENSG00000012223",4,0,0
"ENSG00000012223",5,0,0
"ENSG00000012223",6,0,0
"ENSG00000012223",7,0,0
"ENSG00000012223",8,0,0
"ENSG00000012223",9,0,0
"ENSG00000012223",10,0,0
"ENSG00000012223",11,0,0
"ENSG00000012223",12,0,0
"ENSG00000012223",13,0,0
"ENSG00000012223",14,0,0
"ENSG00000012223",15,0,0
"ENSG00000012504",1,5,1
"ENSG00000012504",2,4,0
"ENSG00000012504",3,5,1
"ENSG00000012504",4,4,0
"ENSG00000012660",1,0,0
"ENSG00000012660",2,0,1
"ENSG00000012660",3,0,0
"ENSG00000012660",4,0,0
"ENSG00000012660",5,0,0
"ENSG00000012660",6,0,0
"ENSG00000012660",7,0,0
"ENSG00000012660",8,0,0
"ENSG00000012660",9,0,0
"ENSG00000012660",10,0,0
"ENSG00000012660",11,0,0
"ENSG00000012660",12,0,0
"ENSG00000012963",1,0,0
"ENSG00000012963",2,0,0
"ENSG00000012963",3,0,0
"ENSG00000012963",4,0,0
"ENSG00000012963",5,0,0
"ENSG00000012963",6,0,0
"ENSG00000012963",7,0,0
"ENSG00000012963",8,0,0
"ENSG00000012963",9,0,0
"ENSG00000013016",1,0,0
"ENSG00000013016",2,0,0
"ENSG00000013016",3,0,0
"ENSG00000013016",4,0,0
"ENSG00000013016",5,0,0
"ENSG00000013297",1,0,0
"ENSG00000013297",2,0,0
"ENSG00000013297",3,0,0
"ENSG00000013297",4,0,0
"ENSG00000013306",1,0,0
"ENSG00000013306",2,0,0
"ENSG00000013364",1,0,0
"ENSG00000013364",2,0,0
"ENSG00000013364",3,0,0
"ENSG00000013364",4,0,0
"ENSG00000013364",5,0,0
"ENSG00000013364",6,0,0
"ENSG00000013374",1,0,0
"ENSG00000013374",2,0,0
"ENSG00000013374",3,0,0
"ENSG00000013374",4,0,0
"ENSG00000013374",5,0,0
"ENSG00000013374",6,0,0
"ENSG00000013374",7,0,0
"ENSG00000013374",8,0,0
"ENSG00000013374",9,0,0
"ENSG00000013392",1,0,0
"ENSG00000013392",2,0,0
"ENSG00000013392",3,0,0
"ENSG00000013561",1,0,0
"ENSG00000013561",2,0,0
"ENSG00000013561",3,0,0
"ENSG00000013561",4,0,0
"ENSG00000013561",5,0,0
"ENSG00000013561",6,0,0
"ENSG00000013561",7,0,0
"ENSG00000013561",8,0,0
"ENSG00000013561",9,0,0
"ENSG00000013573",1,5,1
"ENSG00000013573",2,1,1
"ENSG00000013583",1,0,0
"ENSG00000013583",2,0,0
"ENSG00000013583",3,0,0
"ENSG00000013583",4,0,0
"ENSG00000013583",5,0,0
"ENSG00000013583",6,0,0
"ENSG00000013588",1,0,0
"ENSG00000013588",2,0,0
"ENSG00000014216",1,0,0
"ENSG00000014216",2,0,0
"ENSG00000014216",3,0,0
"ENSG00000014216",4,0,0
"ENSG00000014216",5,0,0
"ENSG00000014216",6,0,0
"ENSG00000014216",7,0,0
"ENSG00000014216",8,0,0
"ENSG00000014216",9,0,0
"ENSG00000014216",10,0,0
"ENSG00000014216",11,0,0
"ENSG00000014216",12,0,0
"ENSG00000014216",13,0,0
"ENSG00000014216",14,0,0
"ENSG00000014257",1,0,0
"ENSG00000014257",2,0,0
"ENSG00000014257",3,0,0
"ENSG00000014257",4,0,0
"ENSG00000014257",5,0,0
"ENSG00000014641",1,0,0
"ENSG00000014641",2,0,0
"ENSG00000014641",3,0,0
"ENSG00000014824",1,0,0
"ENSG00000014824",2,0,0
"ENSG00000014919",1,0,0
"ENSG00000014919",2,1,0
"ENSG00000014919",3,0,1
"ENSG00000014919",4,1,2
"ENSG00000014919",5,1,1
"ENSG00000014919",6,0,1
"ENSG00000015413",1,0,0
"ENSG00000015413",2,0,0
"ENSG00000015413",3,0,0
"ENSG00000015413",4,0,0
"ENSG00000015413",5,0,0
"ENSG00000015413",6,0,0
"ENSG00000015413",7,0,0
"ENSG00000015676",1,0,0
"ENSG00000015676",2,0,0
"ENSG00000015676",3,0,0
"ENSG00000015676",4,0,0
"ENSG00000016082",1,0,0
"ENSG00000016082",2,0,0
"ENSG00000016082",3,1,0
"ENSG00000016082",4,0,0
"ENSG00000016082",5,0,0
"ENSG00000016082",6,0,0
"ENSG00000016082",7,0,0
"ENSG00000016391",1,0,0
"ENSG00000016391",2,0,0
"ENSG00000016391",3,0,0
"ENSG00000016391",4,0,0
"ENSG00000016391",5,0,0
"ENSG00000016391",6,0,0
"ENSG00000016391",7,0,0
"ENSG00000016391",8,0,0
"ENSG00000016391",9,0,0
"ENSG00000016391",10,0,0
"ENSG00000016402",1,0,0
"ENSG00000016402",2,0,0
"ENSG00000016402",3,0,0
"ENSG00000016402",4,0,0
"ENSG00000016402",5,0,0
"ENSG00000016402",6,0,0
"ENSG00000016864",1,0,0
"ENSG00000016864",2,0,0
"ENSG00000016864",3,0,0
"ENSG00000016864",4,0,0
"ENSG00000016864",5,0,0
"ENSG00000016864",6,0,0
"ENSG00000017260",1,0,1
"ENSG00000017260",2,2,0
"ENSG00000017260",3,0,0
"ENSG00000017260",4,0,0
"ENSG00000017260",5,1,0
"ENSG00000017260",6,2,0
"ENSG00000017260",7,2,1
"ENSG00000017260",8,2,0
"ENSG00000017260",9,0,0
"ENSG00000017260",10,0,0
"ENSG00000017260",11,1,0
"ENSG00000017260",12,1,0
"ENSG00000019102",1,0,0
"ENSG00000019102",2,0,0
"ENSG00000019102",3,0,0
"ENSG00000019102",4,0,0
"ENSG00000019102",5,0,0
"ENSG00000019102",6,0,0
"ENSG00000019102",7,0,0
"ENSG00000019102",8,0,0
"ENSG00000019186",1,13,0
"ENSG00000019186",2,3,0
"ENSG00000019186",3,1,0
"ENSG00000019549",1,0,3
"ENSG00000019549",2,0,2
"ENSG00000020426",1,0,0
"ENSG00000020426",2,0,0
"ENSG00000020426",3,0,0
"ENSG00000020922",1,128,28
"ENSG00000020922",2,30,12
"ENSG00000021355",1,0,0
"ENSG00000021355",2,0,0
"ENSG00000021355",3,0,0
"ENSG00000021355",4,0,0
"ENSG00000021355",5,0,0
"ENSG00000021355",6,0,0
"ENSG00000021355",7,0,0
"ENSG00000021355",8,0,0
"ENSG00000021355",9,0,0
"ENSG00000021461",1,0,0
"ENSG00000021461",2,0,0
"ENSG00000021461",3,0,0
"ENSG00000021488",1,12,8
"ENSG00000021488",2,0,0
"ENSG00000022277",1,0,0
"ENSG00000022277",2,0,0
"ENSG00000022277",3,0,0
"ENSG00000022277",4,0,0
"ENSG00000022277",5,0,0
"ENSG00000022277",6,0,0
"ENSG00000022277",7,0,0
"ENSG00000022355",1,6,0
"ENSG00000022355",2,5,6
"ENSG00000022355",3,9,0
"ENSG00000022355",4,7,4
