"ENSG","cluster_membership","cluster_size","n.mut","com_var_count","RVIS.domain"
"ENSG00000003509",8,34,27,1,0.357225421066847
"ENSG00000003509",9,31,13,3,-1.06845829232384
"ENSG00000003509",10,27,26,1,0.312206399083466
"ENSG00000003509",11,25,12,1,-0.31805759435696
"ENSG00000003987",1,101,112,6,2.19547052299856
"ENSG00000003987",2,96,82,5,1.24247220993067
"ENSG00000003987",3,87,45,2,0.769864730659903
"ENSG00000003987",4,75,59,3,1.00243115976461
"ENSG00000003987",5,72,49,2,0.949945550718389
"ENSG00000003987",6,65,29,1,0.447263675180916
"ENSG00000003987",7,57,42,2,0.634805666529326
"ENSG00000003987",8,55,49,4,0.154528596259511
"ENSG00000003987",9,52,54,2,1.17505066177762
"ENSG00000003989",1,157,120,5,2.95354993390124
"ENSG00000003989",2,126,93,6,1.33998712081107
"ENSG00000003989",3,106,91,6,1.24994254116216
"ENSG00000003989",4,74,49,4,0.154528596259511
"ENSG00000003989",5,74,68,8,-0.58093451066296
"ENSG00000003989",6,67,74,9,-0.708533705761652
"ENSG00000003989",7,36,24,2,-0.1755341459205
"ENSG00000003989",8,33,45,0,1.56533213216188
"ENSG00000003989",9,25,24,2,-0.1755341459205
"ENSG00000004059",1,161,57,2,1.31011631435687
"ENSG00000004139",1,215,94,10,-0.205848516748161
"ENSG00000004139",2,172,89,4,1.95538766756845
"ENSG00000004139",3,109,47,4,0.064491371528002
"ENSG00000004139",4,77,22,2,-0.265571659852034
"ENSG00000004139",5,61,22,5,-1.45872459401763
"ENSG00000004139",6,56,8,3,-1.2935658460602
"ENSG00000004455",1,161,90,15,-2.3748600773627
"ENSG00000004455",2,31,11,3,-1.1585006512573
"ENSG00000004455",3,31,29,2,0.0495592090913532
"ENSG00000004468",1,77,38,3,0.057025253752388
"ENSG00000004468",2,75,28,5,-1.18859063697155
"ENSG00000004468",3,65,33,3,-0.168067756046591
"ENSG00000004468",4,49,37,3,0.0120066642171973
"ENSG00000004468",5,34,19,5,-1.59379516447731
"ENSG00000004776",1,51,8,0,-0.100429771819342
"ENSG00000004776",2,50,17,2,-0.490666467530978
"ENSG00000004776",3,43,6,2,-0.985884661264484
"ENSG00000004779",1,91,42,2,0.634805666529326
"ENSG00000004779",2,34,25,2,-0.130515442739849
"ENSG00000004779",3,31,21,4,-1.10601280274065
"ENSG00000004799",1,63,35,2,0.319671636062692
"ENSG00000004799",2,50,39,1,0.897461351517959
"ENSG00000004799",3,50,36,3,-0.0330119230585375
"ENSG00000004799",4,48,28,2,0.00454055332365796
"ENSG00000004799",5,46,18,0,0.349760780468049
"ENSG00000004799",6,41,27,1,0.357225421066847
"ENSG00000004799",7,39,20,1,0.042093204475762
"ENSG00000004799",8,27,10,0,-0.0103917812691428
"ENSG00000004799",9,26,16,0,0.259722414550911
"ENSG00000004799",10,21,30,0,0.889998877215455
"ENSG00000004809",1,117,105,9,0.68708372867543
"ENSG00000004809",2,111,107,11,-0.0183023212704002
"ENSG00000004809",3,101,94,6,1.38500978468839
"ENSG00000004809",4,74,54,3,0.777329906654172
"ENSG00000004809",5,66,27,3,-0.438180504709771
"ENSG00000004809",6,34,30,1,0.492282924255978
"ENSG00000004809",7,27,25,2,-0.130515442739849
"ENSG00000004809",8,24,18,2,-0.445647355209909
"ENSG00000004809",9,23,19,4,-1.19605551556538
"ENSG00000004838",1,105,56,7,-0.723457048454702
"ENSG00000004838",2,86,37,3,0.0120066642171973
"ENSG00000004838",3,83,57,6,-0.280726659039719
"ENSG00000004838",4,70,45,5,-0.423248749867404
"ENSG00000004838",5,61,27,0,0.754937663790438
"ENSG00000004838",6,35,23,1,0.177149651763023
"ENSG00000004948",1,93,38,4,-0.34067651751046
"ENSG00000004948",2,81,47,2,0.859904817033535
"ENSG00000004948",3,79,39,6,-1.09108451944339
"ENSG00000004948",4,51,15,2,-0.580704977656344
"ENSG00000004948",5,49,37,1,0.807420736210683
"ENSG00000004948",6,43,37,3,0.0120066642171973
"ENSG00000004948",7,40,14,0,0.169684244139982
"ENSG00000004948",8,36,25,1,0.267187435853049
"ENSG00000004948",9,36,34,3,-0.123049124718664
"ENSG00000005001",1,187,115,8,1.5350290852038
"ENSG00000005001",2,54,23,4,-1.01597092251245
"ENSG00000005001",3,40,39,4,-0.295657719690631
"ENSG00000005001",4,36,25,0,0.66489757933428
"ENSG00000005020",1,121,45,2,0.769864730659903
"ENSG00000005020",2,111,56,6,-0.325745635032067
"ENSG00000005020",3,65,30,0,0.889998877215455
"ENSG00000005020",4,62,23,1,0.177149651763023
"ENSG00000005059",1,301,176,18,0.30412022468695
"ENSG00000005059",2,35,1,0,-0.415563778864411
"ENSG00000005073",1,246,157,13,1.43736652645961
"ENSG00000005073",2,67,23,2,-0.220552882133939
"ENSG00000005075",1,109,18,2,-0.445647355209909
"ENSG00000005187",1,129,85,5,1.37753893441334
"ENSG00000005187",2,92,47,7,-1.12864427381143
"ENSG00000005187",3,73,48,6,-0.685900361468703
"ENSG00000005187",4,58,29,1,0.447263675180916
"ENSG00000005187",5,58,16,0,0.259722414550911
"ENSG00000005187",6,56,37,2,0.409709502612573
"ENSG00000005187",7,49,23,3,-0.618257206712901
"ENSG00000005187",8,40,19,1,-0.00292558414818434
"ENSG00000005187",9,31,24,1,0.222168522903563
"ENSG00000005194",1,263,124,12,0.349332393219695
"ENSG00000005194",2,49,24,4,-0.97095027343702
"ENSG00000005243",1,55,25,0,0.66489757933428
"ENSG00000005243",2,38,22,3,-0.663276651904035
"ENSG00000005243",3,30,21,0,0.484818844181075
"ENSG00000005243",4,26,8,1,-0.498134159169706
"ENSG00000005243",5,22,22,1,0.132130813959482
"ENSG00000005243",6,21,3,3,-1.51867948613132
"ENSG00000005249",1,97,29,3,-0.348142682353051
"ENSG00000005249",2,79,28,2,0.00454055332365796
"ENSG00000005249",3,63,34,3,-0.123049124718664
"ENSG00000005249",4,39,6,2,-0.985884661264484
"ENSG00000005249",5,33,11,1,-0.363076624598686
"ENSG00000005249",6,31,11,0,0.0346272068365709
"ENSG00000005249",7,31,5,1,-0.633192537427297
"ENSG00000005249",8,30,9,0,-0.0554107713304529
"ENSG00000005421",1,305,143,15,0.0115640256935471
"ENSG00000005421",2,50,42,4,-0.160601626172764
"ENSG00000005448",1,197,140,13,0.67195863696667
"ENSG00000005448",2,65,30,5,-1.0985478645688
"ENSG00000005448",3,50,36,1,0.762400660719749
"ENSG00000005448",4,22,20,2,-0.355609373689877
"ENSG00000005469",1,94,39,6,-1.09108451944339
"ENSG00000005469",2,86,60,6,-0.145670014147758
"ENSG00000005469",3,80,50,2,0.994966181485937
"ENSG00000005469",4,65,40,3,0.147062473488174
"ENSG00000005469",5,56,57,3,0.912390151876797
"ENSG00000005469",6,54,34,5,-0.918464732907184
"ENSG00000005469",7,50,29,3,-0.348142682353051
"ENSG00000005469",8,49,37,2,0.409709502612573
"ENSG00000005469",9,37,28,0,0.799957914893502
"ENSG00000005469",10,36,20,3,-0.753315925222297
"ENSG00000005469",11,33,21,0,0.484818844181075
"ENSG00000005513",1,156,68,4,1.00989761030564
"ENSG00000005513",2,126,149,16,-0.116040085758964
"ENSG00000005513",3,57,53,7,-0.858517926521129
"ENSG00000005513",4,54,43,6,-0.911000985240616
"ENSG00000005513",5,53,15,4,-1.37614371018747
"ENSG00000005812",1,391,115,6,2.33055899543016
"ENSG00000005812",2,37,14,1,-0.228019704963745
"ENSG00000005882",1,60,27,2,-0.0404781015895776
"ENSG00000005882",2,55,32,2,0.184615266239187
"ENSG00000005882",3,50,19,2,-0.400628326753591
"ENSG00000005882",4,49,21,1,0.0871120010210255
"ENSG00000005882",5,47,30,1,0.492282924255978
"ENSG00000005882",6,46,26,3,-0.483199535341049
"ENSG00000005882",7,34,9,0,-0.0554107713304529
"ENSG00000005882",8,28,12,1,-0.31805759435696
"ENSG00000005882",9,22,23,0,0.574857995391797
"ENSG00000005981",1,280,196,9,4.78555545230297
"ENSG00000005981",2,122,73,4,1.23500375031097
"ENSG00000005981",3,24,25,0,0.66489757933428
"ENSG00000006007",1,269,129,8,2.16539967866675
"ENSG00000006007",2,62,47,4,0.064491371528002
"ENSG00000006015",1,74,16,3,-0.933396240842378
"ENSG00000006015",2,58,19,1,-0.00292558414818434
"ENSG00000006015",3,50,27,5,-1.23361235447568
"ENSG00000006016",1,116,82,1,2.83361006139214
"ENSG00000006016",2,102,85,7,0.582102336538793
"ENSG00000006016",3,62,27,2,-0.0404781015895776
"ENSG00000006016",4,53,44,3,0.327137312831638
"ENSG00000006016",5,49,36,2,0.364690535022881
"ENSG00000006016",6,40,2,0,-0.370544468165119
"ENSG00000006042",1,121,70,4,1.09993943681558
"ENSG00000006042",2,81,37,3,0.0120066642171973
"ENSG00000006042",3,24,8,0,-0.100429771819342
"ENSG00000006059",1,136,121,10,1.00970688201603
"ENSG00000006059",2,126,81,9,-0.393392099100037
"ENSG00000006059",3,55,54,10,-2.00677244919512
"ENSG00000006059",4,52,46,5,-0.378229762390747
"ENSG00000006059",5,35,37,3,0.0120066642171973
"ENSG00000006074",1,34,31,2,0.139596557077307
"ENSG00000006074",2,29,13,0,0.124665211069139
"ENSG00000006074",3,26,18,1,-0.0479443733226822
"ENSG00000006075",1,28,18,3,-0.843355765607049
"ENSG00000006075",2,25,8,1,-0.498134159169706
"ENSG00000006116",1,63,35,0,1.11510436246142
"ENSG00000006116",2,63,32,0,0.980040509514671
"ENSG00000006116",3,56,25,2,-0.130515442739849
"ENSG00000006116",4,51,19,0,0.394780057921827
"ENSG00000006116",5,40,20,1,0.042093204475762
"ENSG00000006116",6,22,20,1,0.042093204475762
"ENSG00000006377",1,143,60,4,0.649737228714797
"ENSG00000006377",2,71,28,3,-0.393161556537803
"ENSG00000006377",3,49,27,4,-0.835889388681511
"ENSG00000006377",4,30,37,5,-0.783404228738583
"ENSG00000006451",1,43,9,0,-0.0554107713304529
"ENSG00000006451",2,38,8,1,-0.498134159169706
"ENSG00000006451",3,37,6,0,-0.190467837967847
"ENSG00000006451",4,26,3,0,-0.325525227198008
"ENSG00000006451",5,24,8,0,-0.100429771819342
"ENSG00000006451",6,23,5,0,-0.235486920571508
"ENSG00000006468",1,168,107,3,3.16379770515067
"ENSG00000006468",2,151,72,6,0.394556385661934
"ENSG00000006468",3,96,62,4,0.739776421017522
"ENSG00000006468",4,76,45,3,0.372156155393333
"ENSG00000006530",1,80,52,1,1.48274484797618
"ENSG00000006530",2,62,42,3,0.237099803923044
"ENSG00000006530",3,59,31,5,-1.05352679272144
"ENSG00000006530",4,57,41,1,0.987502642414688
"ENSG00000006530",5,41,21,2,-0.310590487546695
"ENSG00000006530",6,33,11,0,0.0346272068365709
"ENSG00000006530",7,33,8,0,-0.100429771819342
"ENSG00000006530",8,30,15,1,-0.183000828868226
"ENSG00000006530",9,27,17,1,-0.0929631715196007
"ENSG00000006534",1,116,76,14,-2.6074665132209
"ENSG00000006534",2,97,55,7,-0.768477193696574
"ENSG00000006534",3,62,62,3,1.1374941076767
"ENSG00000006534",4,61,31,5,-1.05352679272144
"ENSG00000006534",5,55,42,3,0.237099803923044
"ENSG00000006534",6,49,40,5,-0.648345051438616
"ENSG00000006534",7,25,15,3,-0.978416737712183
"ENSG00000006576",1,569,200,12,3.77175553547362
"ENSG00000006576",2,216,84,9,-0.258332690494637
"ENSG00000006606",1,38,18,2,-0.445647355209909
"ENSG00000006606",2,34,28,2,0.00454055332365796
"ENSG00000006606",3,22,7,1,-0.543153513549443
"ENSG00000006625",1,34,6,0,-0.190467837967847
"ENSG00000006625",2,31,13,1,-0.273038623969326
"ENSG00000006625",3,29,20,0,0.439799409668728
"ENSG00000006625",4,23,14,0,0.169684244139982
"ENSG00000006625",5,22,12,2,-0.715763583638591
"ENSG00000006638",1,142,72,8,-0.400855487053345
"ENSG00000006638",2,74,77,5,1.01736556618341
"ENSG00000006638",3,48,14,5,-1.81891889442138
"ENSG00000006638",4,46,26,2,-0.0854967641201465
"ENSG00000006638",5,45,27,4,-0.835889388681511
"ENSG00000006638",6,26,14,0,0.169684244139982
"ENSG00000006638",7,26,5,2,-1.03090544082652
"ENSG00000006652",1,242,99,6,1.61012718363182
"ENSG00000006652",2,133,59,7,-0.58839739573421
"ENSG00000006652",3,76,34,4,-0.520752434611753
"ENSG00000006659",1,46,30,4,-0.700829919693207
"ENSG00000006659",2,38,22,0,0.529838369931269
"ENSG00000006659",3,31,21,2,-0.310590487546695
"ENSG00000006659",4,21,15,1,-0.183000828868226
"ENSG00000006695",1,306,230,14,4.32748478616139
"ENSG00000006695",2,137,88,7,0.717161937726251
"ENSG00000006744",1,81,76,3,1.76781703747194
"ENSG00000006744",2,74,65,5,0.477127133917881
"ENSG00000006744",3,55,41,4,-0.205620282493662
"ENSG00000006744",4,54,22,0,0.529838369931269
"ENSG00000006744",5,50,49,4,0.154528596259511
"ENSG00000006744",6,46,18,0,0.349760780468049
"ENSG00000006744",7,46,25,1,0.267187435853049
"ENSG00000006744",8,46,33,2,0.229634010142787
"ENSG00000006744",9,44,29,2,0.0495592090913532
"ENSG00000006744",10,44,21,0,0.484818844181075
"ENSG00000006744",11,43,38,3,0.057025253752388
"ENSG00000006744",12,43,19,0,0.394780057921827
"ENSG00000006744",13,40,25,1,0.267187435853049
"ENSG00000006744",14,39,37,2,0.409709502612573
"ENSG00000006744",15,32,17,0,0.304741568835141
"ENSG00000006744",16,32,27,1,0.357225421066847
"ENSG00000006744",17,31,20,1,0.042093204475762
"ENSG00000006744",18,26,11,2,-0.760783377068169
"ENSG00000006747",1,143,136,17,-1.09913731438882
"ENSG00000006747",2,132,67,1,2.15813175126715
"ENSG00000006747",3,110,33,8,-2.15676034772196
"ENSG00000006747",4,109,66,9,-1.06870371210939
"ENSG00000006747",5,86,51,4,0.244565937310129
"ENSG00000006747",6,77,28,5,-1.18859063697155
"ENSG00000006747",7,58,23,5,-1.41370163092227
"ENSG00000006831",1,305,99,9,0.416962364407399
"ENSG00000006831",2,81,38,1,0.852440963652346
"ENSG00000007001",1,298,170,17,0.431721495880837
"ENSG00000007001",2,76,25,6,-1.721406321636
"ENSG00000007038",1,215,216,14,3.69670149555808
"ENSG00000007038",2,60,22,6,-1.85648274874498
"ENSG00000007038",3,39,17,0,0.304741568835141
"ENSG00000007062",1,202,114,13,-0.498608705485947
"ENSG00000007062",2,178,109,7,1.66262596959954
"ENSG00000007062",3,141,90,6,1.20492060844024
"ENSG00000007062",4,110,76,4,1.37007015567078
"ENSG00000007062",5,108,51,5,-0.1531357232289
"ENSG00000007062",6,63,35,4,-0.475733329518965
"ENSG00000007062",7,38,17,3,-0.888375919631796
"ENSG00000007062",8,25,12,1,-0.31805759435696
"ENSG00000007080",1,144,66,11,-1.86424058971404
"ENSG00000007080",2,79,56,4,0.469660243605895
"ENSG00000007129",1,61,44,3,0.327137312831638
"ENSG00000007129",2,55,51,8,-1.34629643016782
"ENSG00000007129",3,48,31,2,0.139596557077307
"ENSG00000007129",4,45,31,1,0.537302265972768
"ENSG00000007129",5,40,31,3,-0.25810512205716
"ENSG00000007129",6,28,19,3,-0.79833577029491
"ENSG00000007168",1,298,79,8,-0.0857197738923197
"ENSG00000007168",2,112,34,1,0.672360931697879
"ENSG00000007255",1,53,34,6,-1.31619362093335
"ENSG00000007255",2,47,32,2,0.184615266239187
"ENSG00000007255",3,43,33,4,-0.565771637703186
"ENSG00000007255",4,30,30,2,0.0945778741853018
"ENSG00000007306",1,48,30,1,0.492282924255978
"ENSG00000007306",2,46,33,2,0.229634010142787
"ENSG00000007306",3,43,46,3,0.417175067989267
"ENSG00000007306",4,36,32,0,0.980040509514671
"ENSG00000007306",5,27,21,0,0.484818844181075
"ENSG00000007306",6,26,41,2,0.589786228709244
"ENSG00000007306",7,22,14,3,-1.02343741871476
"ENSG00000007312",1,57,24,3,-0.57323787787031
"ENSG00000007312",2,47,28,1,0.40224451027528
"ENSG00000007312",3,40,16,0,0.259722414550911
"ENSG00000007312",4,33,14,2,-0.625724392405357
"ENSG00000007312",5,29,28,2,0.00454055332365796
"ENSG00000007312",6,24,8,1,-0.498134159169706
"ENSG00000007372",1,149,73,6,0.43957553302361
"ENSG00000007372",2,99,21,3,-0.708296221916274
"ENSG00000007372",3,97,26,1,0.312206399083466
"ENSG00000007372",4,52,11,1,-0.363076624598686
"ENSG00000007372",5,39,18,0,0.349760780468049
"ENSG00000007376",1,272,348,26,4.86926044917616
"ENSG00000007376",2,40,28,4,-0.790869419675401
"ENSG00000007866",1,121,49,5,-0.243173193137235
"ENSG00000007866",2,81,46,1,1.21260927023225
"ENSG00000007866",3,76,53,1,1.5277683715645
"ENSG00000007866",4,46,8,2,-0.895843650283544
"ENSG00000007866",5,43,17,3,-0.888375919631796
"ENSG00000007866",6,39,11,3,-1.1585006512573
"ENSG00000007866",7,29,12,0,0.0796462014586693
"ENSG00000007908",1,145,104,10,0.244351597185509
"ENSG00000007908",2,112,64,7,-0.363300076187246
"ENSG00000007908",3,108,50,4,0.199547248009027
"ENSG00000007908",4,107,66,2,1.71532750221668
"ENSG00000007908",5,82,50,5,-0.198154439538273
"ENSG00000007908",6,56,33,4,-0.565771637703186
"ENSG00000007923",1,334,188,14,2.43552106553571
"ENSG00000007923",2,159,76,6,0.574633505333249
"ENSG00000007923",3,40,30,1,0.492282924255978
"ENSG00000007923",4,26,8,1,-0.498134159169706
"ENSG00000007968",1,123,65,4,0.874836274792257
"ENSG00000007968",2,81,41,4,-0.205620282493662
"ENSG00000007968",3,81,60,1,1.84294156264834
"ENSG00000007968",4,64,49,3,0.552232310703491
"ENSG00000007968",5,56,30,2,0.0945778741853018
"ENSG00000007968",6,32,24,2,-0.1755341459205
"ENSG00000008018",1,111,44,3,0.327137312831638
"ENSG00000008018",2,95,45,2,0.769864730659903
"ENSG00000008018",3,35,27,1,0.357225421066847
"ENSG00000008196",1,127,61,2,1.49020734265172
"ENSG00000008196",2,87,55,2,1.22007231352647
"ENSG00000008196",3,83,50,3,0.597251588157769
"ENSG00000008196",4,81,47,1,1.25763124654526
"ENSG00000008196",5,55,17,0,0.304741568835141
"ENSG00000008196",6,36,7,0,-0.145448791207803
"ENSG00000008197",1,239,145,6,3.68169869344022
"ENSG00000008197",2,213,119,7,2.11289062564831
"ENSG00000008256",1,105,40,2,0.544766901879905
"ENSG00000008256",2,80,40,3,0.147062473488174
"ENSG00000008256",3,63,29,1,0.447263675180916
"ENSG00000008256",4,61,59,4,0.604717820209257
"ENSG00000008256",5,52,21,0,0.484818844181075
"ENSG00000008256",6,38,19,0,0.394780057921827
"ENSG00000008282",1,79,38,4,-0.34067651751046
"ENSG00000008282",2,48,30,5,-1.0985478645688
"ENSG00000008282",3,42,18,1,-0.0479443733226822
"ENSG00000008282",4,33,19,2,-0.400628326753591
"ENSG00000008282",5,32,9,1,-0.453114898532862
"ENSG00000008282",6,25,16,0,0.259722414550911
"ENSG00000008283",1,245,191,10,4.16220465355065
"ENSG00000008283",2,73,30,11,-3.48553128186096
"ENSG00000008394",1,125,81,5,1.19745044740795
"ENSG00000008394",2,30,19,0,0.394780057921827
"ENSG00000008438",1,39,22,1,0.132130813959482
"ENSG00000008438",2,39,21,3,-0.708296221916274
"ENSG00000008438",3,37,21,1,0.0871120010210255
"ENSG00000008438",4,35,24,4,-0.97095027343702
"ENSG00000008438",5,24,14,3,-1.02343741871476
"ENSG00000008438",6,22,22,0,0.529838369931269
"ENSG00000008513",1,98,69,12,-2.1269704956775
"ENSG00000008513",2,95,53,2,1.13002923117344
"ENSG00000008513",3,91,58,6,-0.235707735876209
"ENSG00000008513",4,56,28,4,-0.790869419675401
"ENSG00000008952",1,126,32,1,0.582321708803675
"ENSG00000008952",2,98,57,3,0.912390151876797
"ENSG00000008952",3,74,26,2,-0.0854967641201465
"ENSG00000008952",4,65,14,2,-0.625724392405357
"ENSG00000008952",5,36,14,3,-1.02343741871476
"ENSG00000008988",1,66,22,2,-0.265571659852034
"ENSG00000008988",2,29,8,2,-0.895843650283544
"ENSG00000009765",1,217,131,19,-2.11998679061981
"ENSG00000009765",2,76,50,2,0.994966181485937
"ENSG00000009844",1,174,136,5,3.67421707780588
"ENSG00000009844",2,133,64,5,0.432108050119784
"ENSG00000010030",1,81,73,17,-3.93661145905081
"ENSG00000010030",2,44,36,3,-0.0330119230585375
"ENSG00000010030",3,40,26,1,0.312206399083466
"ENSG00000010030",4,36,20,1,0.042093204475762
"ENSG00000010030",5,27,16,4,-1.33112129422327
"ENSG00000010030",6,26,18,0,0.349760780468049
"ENSG00000010030",7,24,15,2,-0.580704977656344
"ENSG00000010030",8,22,16,0,0.259722414550911
"ENSG00000010030",9,21,11,1,-0.363076624598686
"ENSG00000010256",1,96,70,3,1.49767200955029
"ENSG00000010256",2,91,45,0,1.56533213216188
"ENSG00000010256",3,80,47,3,0.462194059091502
"ENSG00000010256",4,53,34,3,-0.123049124718664
"ENSG00000010256",5,50,44,4,-0.0705643957270364
"ENSG00000010256",6,46,29,1,0.447263675180916
"ENSG00000010256",7,45,35,5,-0.873444403299349
"ENSG00000010270",1,69,36,3,-0.0330119230585375
"ENSG00000010270",2,47,29,2,0.0495592090913532
"ENSG00000010270",3,32,11,2,-0.760783377068169
"ENSG00000010270",4,21,8,0,-0.100429771819342
"ENSG00000010278",1,140,57,7,-0.678437039362294
"ENSG00000010278",2,30,24,1,0.222168522903563
"ENSG00000010278",3,25,11,1,-0.363076624598686
"ENSG00000010282",1,168,106,14,-1.25655601869406
"ENSG00000010282",2,109,60,7,-0.543377744252999
"ENSG00000010282",3,105,66,10,-1.46645649203073
"ENSG00000010282",4,63,49,3,0.552232310703491
"ENSG00000010282",5,59,60,4,0.649737228714797
"ENSG00000010310",1,88,84,9,-0.258332690494637
"ENSG00000010310",2,83,69,6,0.259499355190559
"ENSG00000010310",3,83,53,5,-0.0630983685915421
"ENSG00000010310",4,68,51,5,-0.1531357232289
"ENSG00000010310",5,58,36,2,0.364690535022881
"ENSG00000010310",6,52,33,5,-0.963485235364427
"ENSG00000010310",7,34,11,1,-0.363076624598686
"ENSG00000010318",1,283,135,10,1.64003886865008
"ENSG00000010318",2,98,46,3,0.417175067989267
"ENSG00000010361",1,180,104,7,1.43750590665108
"ENSG00000010361",2,51,44,4,-0.0705643957270364
"ENSG00000010361",3,45,17,2,-0.490666467530978
"ENSG00000010361",4,45,37,4,-0.385695379440438
"ENSG00000010361",5,38,8,2,-0.895843650283544
"ENSG00000010361",6,31,20,0,0.439799409668728
"ENSG00000010361",7,28,14,3,-1.02343741871476
"ENSG00000010438",1,77,7,2,-0.940864067241363
"ENSG00000010438",2,67,44,6,-0.865980551488179
"ENSG00000010438",3,50,20,1,0.042093204475762
"ENSG00000010438",4,34,17,0,0.304741568835141
"ENSG00000010438",5,30,23,2,-0.220552882133939
"ENSG00000010438",6,26,17,1,-0.0929631715196007
"ENSG00000010610",1,125,55,5,0.0269389385493752
"ENSG00000010610",2,85,32,2,0.184615266239187
"ENSG00000010610",3,82,59,7,-0.58839739573421
