"ENSG","cluster_membership","cluster_size","n.mut"
"ENSG00000117971",2,190,124
"ENSG00000117971",3,118,93
"ENSG00000117984",1,69,45
"ENSG00000117984",2,51,27
"ENSG00000117984",3,48,47
"ENSG00000117984",4,44,24
"ENSG00000117984",5,44,21
"ENSG00000117984",6,40,24
"ENSG00000117984",7,33,23
"ENSG00000117984",8,31,15
"ENSG00000117984",9,27,11
"ENSG00000117984",10,25,26
"ENSG00000118094",1,152,69
"ENSG00000118094",2,117,60
"ENSG00000118094",3,102,49
"ENSG00000118094",4,82,71
"ENSG00000118094",5,54,44
"ENSG00000118094",6,39,18
"ENSG00000118094",7,36,23
"ENSG00000118113",1,106,69
"ENSG00000118113",2,90,69
"ENSG00000118113",3,87,69
"ENSG00000118113",4,78,59
"ENSG00000118113",5,58,42
"ENSG00000118113",6,48,25
"ENSG00000118137",1,87,55
"ENSG00000118137",2,69,47
"ENSG00000118137",3,66,33
"ENSG00000118137",4,45,21
"ENSG00000118181",1,91,18
"ENSG00000118181",2,34,20
"ENSG00000118194",1,232,111
"ENSG00000118194",2,65,45
"ENSG00000118231",1,51,48
"ENSG00000118231",2,37,25
"ENSG00000118231",3,37,37
"ENSG00000118231",4,31,17
"ENSG00000118231",5,18,15
"ENSG00000118246",1,585,285
"ENSG00000118246",2,125,64
"ENSG00000118271",1,131,60
"ENSG00000118271",2,16,15
"ENSG00000118276",1,286,107
"ENSG00000118276",2,96,46
"ENSG00000118298",1,92,46
"ENSG00000118298",2,88,53
"ENSG00000118298",3,73,46
"ENSG00000118298",4,52,34
"ENSG00000118298",5,32,13
"ENSG00000118307",1,186,86
"ENSG00000118307",2,118,64
"ENSG00000118307",3,110,47
"ENSG00000118307",4,79,47
"ENSG00000118307",5,76,39
"ENSG00000118307",6,66,29
"ENSG00000118307",7,60,60
"ENSG00000118307",8,27,10
"ENSG00000118363",1,190,36
"ENSG00000118363",2,67,10
"ENSG00000118402",1,57,13
"ENSG00000118402",2,47,23
"ENSG00000118402",3,44,18
"ENSG00000118402",4,30,20
"ENSG00000118402",5,29,15
"ENSG00000118402",6,28,7
"ENSG00000118402",7,27,13
"ENSG00000118402",8,26,10
"ENSG00000118402",9,26,10
"ENSG00000118418",1,21,2
"ENSG00000118418",2,16,11
"ENSG00000118418",3,13,3
"ENSG00000118418",4,11,1
"ENSG00000118418",5,11,13
"ENSG00000118418",6,8,1
"ENSG00000118418",7,7,3
"ENSG00000118418",8,7,3
"ENSG00000118418",9,5,4
"ENSG00000118420",1,87,35
"ENSG00000118420",2,80,60
"ENSG00000118420",3,63,31
"ENSG00000118420",4,59,54
"ENSG00000118420",5,42,22
"ENSG00000118420",6,35,15
"ENSG00000118420",7,23,12
"ENSG00000118432",1,221,117
"ENSG00000118432",2,113,54
"ENSG00000118432",3,87,29
"ENSG00000118432",4,51,27
"ENSG00000118508",1,166,104
"ENSG00000118508",2,33,17
"ENSG00000118508",3,26,33
"ENSG00000118513",1,236,131
"ENSG00000118513",2,190,47
"ENSG00000118513",3,187,77
"ENSG00000118513",4,95,54
"ENSG00000118513",5,53,26
"ENSG00000118514",1,87,69
"ENSG00000118514",2,77,58
"ENSG00000118514",3,63,30
"ENSG00000118514",4,59,52
"ENSG00000118514",5,51,29
"ENSG00000118514",6,48,30
"ENSG00000118514",7,44,20
"ENSG00000118514",8,31,29
"ENSG00000118514",9,27,17
"ENSG00000118520",1,84,47
"ENSG00000118520",2,61,25
"ENSG00000118520",3,61,41
"ENSG00000118520",4,46,26
"ENSG00000118520",5,44,25
"ENSG00000118520",6,34,32
"ENSG00000118523",1,74,17
"ENSG00000118523",2,64,39
"ENSG00000118523",3,46,26
"ENSG00000118523",4,46,16
"ENSG00000118523",5,43,19
"ENSG00000118523",6,34,15
"ENSG00000118523",7,21,8
"ENSG00000118523",8,21,1
"ENSG00000118526",1,48,22
"ENSG00000118526",2,34,11
"ENSG00000118526",3,33,17
"ENSG00000118526",4,32,11
"ENSG00000118526",5,32,27
"ENSG00000118680",1,73,13
"ENSG00000118680",2,38,14
"ENSG00000118680",3,32,10
"ENSG00000118680",4,29,12
"ENSG00000118705",1,112,59
"ENSG00000118705",2,92,51
"ENSG00000118705",3,87,52
"ENSG00000118705",4,82,54
"ENSG00000118705",5,80,40
"ENSG00000118705",6,71,35
"ENSG00000118705",7,48,31
"ENSG00000118705",8,34,26
"ENSG00000118705",9,25,11
"ENSG00000118729",1,275,206
"ENSG00000118729",2,56,30
"ENSG00000118729",3,36,11
"ENSG00000118729",4,32,14
"ENSG00000118816",1,166,67
"ENSG00000118816",2,116,68
"ENSG00000118816",3,95,41
"ENSG00000118894",1,77,83
"ENSG00000118894",2,57,77
"ENSG00000118894",3,54,33
"ENSG00000118894",4,44,41
"ENSG00000118894",5,37,31
"ENSG00000118894",6,31,25
"ENSG00000118894",7,30,48
"ENSG00000118939",1,46,15
"ENSG00000118939",2,45,23
"ENSG00000118939",3,38,19
"ENSG00000118939",4,32,9
"ENSG00000118939",5,27,15
"ENSG00000118939",6,23,7
"ENSG00000118939",7,19,9
"ENSG00000118961",1,277,175
"ENSG00000118961",2,50,8
"ENSG00000118961",3,43,14
"ENSG00000118971",1,48,29
"ENSG00000118971",2,45,15
"ENSG00000118971",3,42,19
"ENSG00000118971",4,41,12
"ENSG00000118971",5,35,11
"ENSG00000118971",6,34,16
"ENSG00000118971",7,25,18
"ENSG00000118971",8,19,13
"ENSG00000119004",1,56,24
"ENSG00000119004",2,54,29
"ENSG00000119004",3,48,23
"ENSG00000119004",4,46,22
"ENSG00000119004",5,30,15
"ENSG00000119004",6,28,13
"ENSG00000119004",7,28,18
"ENSG00000119004",8,27,12
"ENSG00000119004",9,25,14
"ENSG00000119004",10,25,9
"ENSG00000119004",11,24,21
"ENSG00000119004",12,23,12
"ENSG00000119004",13,16,3
"ENSG00000119004",14,15,9
"ENSG00000119004",15,13,8
"ENSG00000119004",16,12,6
"ENSG00000119013",1,24,18
"ENSG00000119013",2,23,8
"ENSG00000119013",3,19,8
"ENSG00000119013",4,19,12
"ENSG00000119013",5,13,0
"ENSG00000119048",1,37,8
"ENSG00000119048",2,35,10
"ENSG00000119048",3,30,18
"ENSG00000119048",4,27,8
"ENSG00000119048",5,23,5
"ENSG00000119125",1,39,16
"ENSG00000119125",2,36,19
"ENSG00000119125",3,36,19
"ENSG00000119125",4,34,11
"ENSG00000119125",5,34,10
"ENSG00000119125",6,30,13
"ENSG00000119125",7,29,9
"ENSG00000119125",8,28,8
"ENSG00000119125",9,27,24
"ENSG00000119125",10,26,6
"ENSG00000119125",11,26,22
"ENSG00000119125",12,25,8
"ENSG00000119125",13,23,7
"ENSG00000119125",14,21,8
"ENSG00000119125",15,21,7
"ENSG00000119125",16,20,7
"ENSG00000119125",17,16,14
"ENSG00000119185",1,57,27
"ENSG00000119185",2,54,25
"ENSG00000119185",3,35,19
"ENSG00000119185",4,30,10
"ENSG00000119185",5,24,15
"ENSG00000119314",1,217,83
"ENSG00000119314",2,161,71
"ENSG00000119314",3,100,56
"ENSG00000119314",4,80,51
"ENSG00000119318",1,121,78
"ENSG00000119318",2,83,15
"ENSG00000119318",3,70,35
"ENSG00000119318",4,60,16
"ENSG00000119318",5,39,7
"ENSG00000119318",6,36,16
"ENSG00000119328",1,53,24
"ENSG00000119328",2,43,28
"ENSG00000119328",3,30,11
"ENSG00000119328",4,24,28
"ENSG00000119328",5,23,8
"ENSG00000119328",6,8,4
"ENSG00000119335",1,52,7
"ENSG00000119335",2,48,11
"ENSG00000119335",3,43,6
"ENSG00000119335",4,37,6
"ENSG00000119335",5,34,15
"ENSG00000119335",6,32,8
"ENSG00000119335",7,28,9
"ENSG00000119335",8,16,5
"ENSG00000119383",1,65,25
"ENSG00000119383",2,62,23
"ENSG00000119383",3,50,29
"ENSG00000119383",4,49,24
"ENSG00000119383",5,37,18
"ENSG00000119383",6,34,17
"ENSG00000119383",7,23,2
"ENSG00000119383",8,19,4
"ENSG00000119383",9,18,10
"ENSG00000119383",10,17,6
"ENSG00000119396",1,175,28
"ENSG00000119396",2,40,17
"ENSG00000119411",1,246,122
"ENSG00000119411",2,156,130
"ENSG00000119421",1,44,23
"ENSG00000119421",2,31,18
"ENSG00000119421",3,26,15
"ENSG00000119421",4,21,9
"ENSG00000119421",5,21,10
"ENSG00000119421",6,16,10
"ENSG00000119421",7,13,6
"ENSG00000119431",1,113,86
"ENSG00000119431",2,59,50
"ENSG00000119431",3,48,44
"ENSG00000119431",4,31,19
"ENSG00000119446",1,89,26
"ENSG00000119446",2,43,22
"ENSG00000119446",3,33,17
"ENSG00000119446",4,25,9
"ENSG00000119457",1,408,270
"ENSG00000119457",2,67,58
"ENSG00000119523",1,380,249
"ENSG00000119523",2,36,40
"ENSG00000119537",1,300,142
"ENSG00000119537",2,32,21
"ENSG00000119541",1,212,87
"ENSG00000119541",2,120,54
"ENSG00000119541",3,71,18
"ENSG00000119541",4,41,7
"ENSG00000119608",1,259,151
"ENSG00000119608",2,103,66
"ENSG00000119608",3,58,36
"ENSG00000119608",4,49,21
"ENSG00000119608",5,47,21
"ENSG00000119608",6,46,32
"ENSG00000119608",7,30,20
"ENSG00000119616",1,84,41
"ENSG00000119616",2,57,27
"ENSG00000119616",3,32,11
"ENSG00000119616",4,25,14
"ENSG00000119636",1,156,65
"ENSG00000119636",2,146,80
"ENSG00000119636",3,117,48
"ENSG00000119636",4,51,22
"ENSG00000119636",5,31,9
"ENSG00000119636",6,28,14
"ENSG00000119640",1,99,47
"ENSG00000119640",2,30,10
"ENSG00000119661",1,42,9
"ENSG00000119661",2,35,18
"ENSG00000119661",3,25,5
"ENSG00000119661",4,25,6
"ENSG00000119661",5,24,8
"ENSG00000119661",6,21,10
"ENSG00000119661",7,18,3
"ENSG00000119689",1,383,212
"ENSG00000119689",2,70,61
"ENSG00000119699",1,51,12
"ENSG00000119699",2,40,24
"ENSG00000119699",3,31,16
"ENSG00000119699",4,31,19
"ENSG00000119699",5,31,18
"ENSG00000119699",6,29,19
"ENSG00000119699",7,25,10
"ENSG00000119699",8,24,15
"ENSG00000119699",9,24,13
"ENSG00000119699",10,24,9
"ENSG00000119699",11,23,7
"ENSG00000119699",12,23,8
"ENSG00000119699",13,20,7
"ENSG00000119699",14,18,18
"ENSG00000119699",15,18,10
"ENSG00000119705",1,80,49
"ENSG00000119705",2,26,8
"ENSG00000119705",3,18,34
"ENSG00000119711",1,86,29
"ENSG00000119711",2,59,27
"ENSG00000119711",3,54,44
"ENSG00000119711",4,49,21
"ENSG00000119711",5,45,20
"ENSG00000119711",6,45,17
"ENSG00000119711",7,43,24
"ENSG00000119711",8,42,17
"ENSG00000119711",9,35,20
"ENSG00000119711",10,33,16
"ENSG00000119711",11,26,12
"ENSG00000119711",12,18,6
"ENSG00000119714",1,82,63
"ENSG00000119714",2,60,39
"ENSG00000119714",3,59,28
"ENSG00000119714",4,50,14
"ENSG00000119714",5,40,10
"ENSG00000119714",6,26,4
"ENSG00000119714",7,22,12
"ENSG00000119714",8,22,3
"ENSG00000119714",9,14,9
"ENSG00000119715",1,298,164
"ENSG00000119715",2,112,47
"ENSG00000119715",3,98,79
"ENSG00000119718",1,71,37
"ENSG00000119718",2,61,34
"ENSG00000119718",3,57,42
"ENSG00000119718",4,46,26
"ENSG00000119718",5,45,20
"ENSG00000119718",6,42,18
"ENSG00000119718",7,29,14
"ENSG00000119723",1,116,72
"ENSG00000119723",2,69,34
"ENSG00000119723",3,52,22
"ENSG00000119723",4,49,23
"ENSG00000119723",5,46,21
"ENSG00000119723",6,41,32
"ENSG00000119723",7,33,22
"ENSG00000119723",8,31,9
"ENSG00000119723",9,31,22
"ENSG00000119729",1,33,15
"ENSG00000119729",2,25,9
"ENSG00000119729",3,25,14
"ENSG00000119729",4,23,9
"ENSG00000119729",5,22,17
"ENSG00000119729",6,22,17
"ENSG00000119729",7,19,9
"ENSG00000119729",8,16,7
"ENSG00000119729",9,11,4
"ENSG00000119729",10,9,20
"ENSG00000119737",1,202,121
"ENSG00000119737",2,105,66
"ENSG00000119737",3,75,52
"ENSG00000119737",4,46,20
"ENSG00000119737",5,43,34
"ENSG00000119737",6,41,29
"ENSG00000119737",7,28,26
"ENSG00000119782",1,24,8
"ENSG00000119782",2,20,7
"ENSG00000119782",3,17,14
"ENSG00000119782",4,16,0
"ENSG00000119782",5,16,7
"ENSG00000119782",6,15,7
"ENSG00000119787",1,201,110
"ENSG00000119787",2,117,62
"ENSG00000119787",3,73,33
"ENSG00000119787",4,67,25
"ENSG00000119787",5,53,65
"ENSG00000119787",6,45,17
"ENSG00000119787",7,27,0
"ENSG00000119801",1,38,9
"ENSG00000119801",2,37,10
"ENSG00000119801",3,20,4
"ENSG00000119801",4,14,6
"ENSG00000119801",5,12,2
"ENSG00000119820",1,55,34
"ENSG00000119820",2,54,22
"ENSG00000119820",3,46,27
"ENSG00000119820",4,36,16
"ENSG00000119820",5,29,11
"ENSG00000119820",6,24,10
"ENSG00000119862",1,137,54
"ENSG00000119862",2,35,30
"ENSG00000119899",1,406,197
"ENSG00000119899",2,63,26
"ENSG00000119899",3,26,20
"ENSG00000119913",1,56,36
"ENSG00000119913",2,45,33
"ENSG00000119913",3,44,40
"ENSG00000119913",4,43,36
"ENSG00000119913",5,41,24
"ENSG00000119913",6,37,30
"ENSG00000119913",7,21,25
"ENSG00000119913",8,17,13
"ENSG00000119913",9,15,15
"ENSG00000119913",10,10,9
"ENSG00000119915",1,75,51
"ENSG00000119915",2,51,27
"ENSG00000119915",3,41,21
"ENSG00000119915",4,40,14
"ENSG00000119915",5,37,15
"ENSG00000119915",6,26,13
"ENSG00000119917",1,347,168
"ENSG00000119917",2,53,30
"ENSG00000119917",3,50,11
"ENSG00000119917",4,40,17
"ENSG00000119938",1,123,72
"ENSG00000119938",2,69,40
"ENSG00000119938",3,54,45
"ENSG00000119938",4,52,34
"ENSG00000119938",5,19,7
"ENSG00000119953",1,92,20
"ENSG00000119953",2,82,22
"ENSG00000119953",3,64,6
"ENSG00000119969",1,120,38
"ENSG00000119969",2,77,18
"ENSG00000119969",3,77,21
"ENSG00000119969",4,67,24
"ENSG00000119969",5,65,23
"ENSG00000119969",6,62,31
"ENSG00000119969",7,59,24
"ENSG00000119969",8,56,9
"ENSG00000119969",9,51,13
"ENSG00000119969",10,47,25
"ENSG00000119969",11,43,13
"ENSG00000119969",12,42,3
"ENSG00000119969",13,40,10
"ENSG00000119969",14,40,13
"ENSG00000119969",15,38,14
"ENSG00000119973",1,98,67
"ENSG00000119973",2,60,46
"ENSG00000119973",3,49,40
"ENSG00000119973",4,44,36
"ENSG00000119973",5,40,32
"ENSG00000119973",6,37,25
"ENSG00000119973",7,28,20
"ENSG00000119973",8,14,15
"ENSG00000119977",1,227,128
"ENSG00000119977",2,173,99
"ENSG00000119977",3,121,41
"ENSG00000119977",4,104,23
"ENSG00000119979",1,127,64
"ENSG00000119979",2,89,45
"ENSG00000119979",3,79,29
"ENSG00000119979",4,62,17
"ENSG00000120029",1,296,114
"ENSG00000120029",2,135,50
"ENSG00000120029",3,99,55
"ENSG00000120029",4,95,37
"ENSG00000120029",5,64,29
"ENSG00000120049",1,82,31
"ENSG00000120049",2,82,26
"ENSG00000120049",3,70,17
"ENSG00000120049",4,27,10
"ENSG00000120049",5,24,10
"ENSG00000120053",1,105,29
"ENSG00000120053",2,75,30
"ENSG00000120053",3,54,26
"ENSG00000120053",4,53,28
"ENSG00000120053",5,52,31
"ENSG00000120053",6,47,26
"ENSG00000120053",7,27,7
"ENSG00000120057",1,145,91
"ENSG00000120057",2,73,32
"ENSG00000120057",3,51,27
"ENSG00000120057",4,48,42
"ENSG00000120063",1,95,31
"ENSG00000120063",2,74,26
"ENSG00000120063",3,59,17
"ENSG00000120063",4,55,26
"ENSG00000120063",5,45,7
"ENSG00000120063",6,27,10
"ENSG00000120063",7,22,6
"ENSG00000120068",1,168,95
"ENSG00000120068",2,75,29
"ENSG00000120075",1,189,99
"ENSG00000120075",2,80,51
"ENSG00000120093",1,143,126
"ENSG00000120093",2,128,100
"ENSG00000120093",3,98,57
"ENSG00000120093",4,62,49
"ENSG00000120094",1,223,163
"ENSG00000120094",2,78,50
"ENSG00000120129",1,91,38
"ENSG00000120129",2,67,45
"ENSG00000120129",3,59,16
"ENSG00000120129",4,54,31
"ENSG00000120129",5,49,31
"ENSG00000120129",6,47,8
"ENSG00000120137",1,46,24
"ENSG00000120137",2,38,10
"ENSG00000120137",3,25,6
"ENSG00000120137",4,24,13
"ENSG00000120137",5,22,9
"ENSG00000120137",6,20,6
"ENSG00000120137",7,18,6
"ENSG00000120137",8,18,5
"ENSG00000120137",9,18,3
"ENSG00000120137",10,18,5
"ENSG00000120137",11,17,2
"ENSG00000120137",12,17,5
"ENSG00000120137",13,16,6
"ENSG00000120137",14,16,8
"ENSG00000120137",15,16,7
"ENSG00000120137",16,14,5
"ENSG00000120137",17,14,4
"ENSG00000120137",18,13,4
"ENSG00000120149",1,135,93
"ENSG00000120149",2,86,51
"ENSG00000120149",3,46,17
"ENSG00000120158",1,91,54
"ENSG00000120158",2,86,65
"ENSG00000120158",3,85,61
"ENSG00000120158",4,80,77
"ENSG00000120158",5,31,23
"ENSG00000120162",1,109,62
"ENSG00000120162",2,64,32
"ENSG00000120162",3,43,29
"ENSG00000120211",1,31,22
"ENSG00000120211",2,30,25
"ENSG00000120211",3,26,38
"ENSG00000120211",4,26,31
"ENSG00000120211",5,26,22
"ENSG00000120215",1,44,42
"ENSG00000120215",2,37,17
"ENSG00000120215",3,21,6
"ENSG00000120215",4,16,4
"ENSG00000120217",1,110,40
"ENSG00000120217",2,101,50
"ENSG00000120217",3,50,23
"ENSG00000120217",4,29,16
"ENSG00000120235",1,97,71
"ENSG00000120235",2,41,22
"ENSG00000120235",3,35,22
"ENSG00000120235",4,16,8
"ENSG00000120242",1,55,27
"ENSG00000120242",2,49,46
"ENSG00000120242",3,35,24
"ENSG00000120242",4,32,23
"ENSG00000120242",5,18,18
"ENSG00000120253",1,253,116
"ENSG00000120253",2,49,27
"ENSG00000120253",3,49,27
"ENSG00000120253",4,29,16
"ENSG00000120254",1,728,364
"ENSG00000120254",2,151,118
"ENSG00000120254",3,99,68
"ENSG00000120256",1,249,119
"ENSG00000120256",2,136,14
"ENSG00000120256",3,115,79
"ENSG00000120265",1,232,79
"ENSG00000120265",2,54,22
"ENSG00000120314",1,287,155
"ENSG00000120314",2,53,40
"ENSG00000120314",3,43,21
"ENSG00000120329",1,146,98
"ENSG00000120329",2,60,40
"ENSG00000120329",3,52,30
"ENSG00000120329",4,43,28
"ENSG00000120333",1,101,65
"ENSG00000120333",2,27,24
"ENSG00000120334",1,99,49
"ENSG00000120334",2,92,35
"ENSG00000120334",3,82,23
"ENSG00000120334",4,62,44
"ENSG00000120334",5,55,4
"ENSG00000120436",1,191,145
"ENSG00000120436",2,63,43
"ENSG00000120436",3,41,37
"ENSG00000120436",4,24,11
"ENSG00000120437",1,77,24
"ENSG00000120437",2,70,53
"ENSG00000120437",3,70,29
"ENSG00000120437",4,59,32
"ENSG00000120437",5,50,29
"ENSG00000120437",6,28,13
"ENSG00000120437",7,27,5
"ENSG00000120437",8,27,32
"ENSG00000120437",9,18,5
"ENSG00000120438",1,144,54
"ENSG00000120438",2,82,42
"ENSG00000120438",3,63,29
"ENSG00000120438",4,56,12
"ENSG00000120438",5,54,18
"ENSG00000120438",6,50,19
"ENSG00000120438",7,48,28
"ENSG00000120438",8,35,10
"ENSG00000120438",9,24,15
"ENSG00000120451",1,187,118
"ENSG00000120451",2,186,157
"ENSG00000120451",3,139,78
"ENSG00000120451",4,129,75
"ENSG00000120451",5,113,84
"ENSG00000120451",6,98,68
"ENSG00000120451",7,88,50
"ENSG00000120451",8,52,31
"ENSG00000120457",1,126,58
"ENSG00000120457",2,123,81
"ENSG00000120457",3,85,48
"ENSG00000120457",4,43,22
"ENSG00000120457",5,42,24
"ENSG00000120519",1,83,36
"ENSG00000120519",2,62,25
"ENSG00000120519",3,57,18
"ENSG00000120519",4,51,19
"ENSG00000120519",5,44,31
"ENSG00000120519",6,29,6
"ENSG00000120519",7,18,4
"ENSG00000120519",8,14,2
"ENSG00000120533",1,32,11
"ENSG00000120533",2,29,14
"ENSG00000120533",3,23,5
"ENSG00000120533",4,17,9
"ENSG00000120563",1,150,83
"ENSG00000120563",2,44,18
"ENSG00000120594",1,430,223
"ENSG00000120594",2,99,58
"ENSG00000120656",1,125,42
"ENSG00000120656",2,36,16
"ENSG00000120659",1,139,69
"ENSG00000120659",2,76,39
"ENSG00000120659",3,61,41
"ENSG00000120659",4,41,30
"ENSG00000120662",1,191,113
"ENSG00000120662",2,100,45
"ENSG00000120662",3,82,43
"ENSG00000120662",4,52,42
"ENSG00000120662",5,43,8
"ENSG00000120675",1,53,38
"ENSG00000120675",2,37,31
"ENSG00000120675",3,30,25
"ENSG00000120675",4,30,16
"ENSG00000120688",1,171,107
"ENSG00000120688",2,107,56
"ENSG00000120688",3,50,21
"ENSG00000120688",4,48,24
"ENSG00000120693",1,163,95
"ENSG00000120693",2,160,123
"ENSG00000120693",3,144,89
"ENSG00000120694",1,102,35
"ENSG00000120694",2,97,53
"ENSG00000120694",3,97,40
"ENSG00000120694",4,89,24
"ENSG00000120694",5,58,21
"ENSG00000120694",6,57,21
"ENSG00000120694",7,54,22
"ENSG00000120694",8,48,24
"ENSG00000120694",9,44,27
"ENSG00000120694",10,42,19
"ENSG00000120694",11,40,26
"ENSG00000120694",12,36,16
"ENSG00000120694",13,33,13
"ENSG00000120694",14,32,12
"ENSG00000120694",15,31,12
"ENSG00000120696",1,413,185
"ENSG00000120696",2,152,52
"ENSG00000120696",3,119,64
"ENSG00000120697",1,79,28
"ENSG00000120697",2,72,37
"ENSG00000120697",3,71,23
"ENSG00000120697",4,48,45
"ENSG00000120697",5,39,18
"ENSG00000120697",6,15,7
"ENSG00000120699",1,74,28
"ENSG00000120699",2,70,31
"ENSG00000120699",3,43,15
"ENSG00000120699",4,31,25
"ENSG00000120699",5,31,15
"ENSG00000120699",6,27,16
"ENSG00000120705",1,122,24
"ENSG00000120705",2,119,25
"ENSG00000120705",3,105,13
"ENSG00000120705",4,91,23
"ENSG00000120725",1,325,191
"ENSG00000120725",2,65,41
"ENSG00000120725",3,52,21
"ENSG00000120725",4,26,23
"ENSG00000120742",1,64,29
"ENSG00000120742",2,14,5
"ENSG00000120756",1,138,65
"ENSG00000120756",2,117,60
"ENSG00000120756",3,100,47
"ENSG00000120756",4,74,33
"ENSG00000120756",5,72,25
"ENSG00000120756",6,65,33
"ENSG00000120756",7,63,25
"ENSG00000120798",1,387,153
"ENSG00000120798",2,109,46
"ENSG00000120798",3,89,55
"ENSG00000120798",4,18,8
"ENSG00000120805",1,44,11
"ENSG00000120805",2,28,7
"ENSG00000120805",3,26,6
"ENSG00000120805",4,24,0
"ENSG00000120805",5,23,4
"ENSG00000120805",6,19,5
"ENSG00000120805",7,17,2
"ENSG00000120805",8,13,19
"ENSG00000120820",1,96,56
"ENSG00000120820",2,83,55
"ENSG00000120820",3,55,43
"ENSG00000120820",4,46,35
"ENSG00000120820",5,38,15
"ENSG00000120820",6,31,21
"ENSG00000120833",1,163,84
"ENSG00000120833",2,35,17
"ENSG00000120860",1,124,67
"ENSG00000120860",2,50,16
"ENSG00000120860",3,20,10
"ENSG00000120889",1,136,90
"ENSG00000120889",2,124,98
"ENSG00000120889",3,91,58
"ENSG00000120889",4,50,29
"ENSG00000120889",5,39,30
"ENSG00000120907",1,415,305
"ENSG00000120907",2,60,11
"ENSG00000120948",1,115,21
"ENSG00000120948",2,79,19
"ENSG00000120948",3,78,17
"ENSG00000120948",4,72,23
"ENSG00000120948",5,54,20
"ENSG00000120948",6,16,1
"ENSG00000120952",1,219,159
"ENSG00000120952",2,110,96
"ENSG00000120952",3,71,72
"ENSG00000120952",4,48,29
"ENSG00000120952",5,26,34
"ENSG00000120963",1,61,11
"ENSG00000120963",2,15,1
"ENSG00000120992",1,155,73
